# create_scale-scan.py -mh
# N3LO scale-scan_cross-section
# mu LO NLO NNLO N3LO
0.125 4.1623993 3.8860109 3.8679177 3.874715
0.25 4.1322186 3.8962758 3.872914 3.8752333
0.5 4.0771386 3.9207839 3.8833998 3.8771454
1.0 4.0076894 3.9476542 3.8985541 3.8825444
2.0 3.9302603 3.9711421 3.9169586 3.8913103
4.0 3.8487961 3.9887707 3.9370151 3.9029292
8.0 3.7657977 3.9997252 3.957257 3.9167285

