# create_scale-scan.py
# N3LO scale-scan_cross-section
# mu LO NLO NNLO N3LO
0.125 4.1579302 3.9433181 3.9716224 3.8812938
0.25 4.174643 3.9351114 3.9232001 3.9293884
0.5 4.149804 3.9471319 3.9213225 3.9280291
1.0 4.0988289 3.9701022 3.9316101 3.9284357
2.0 4.0321189 3.9950597 3.9470459 3.9334061
4.0 3.9565495 4.0174443 3.965828 3.9421872
8.0 3.8763219 4.0352874 3.9868988 3.9543672

