# create_scale-scan.py -mur
# N3LO scale-scan_cross-section
# mu LO NLO NNLO N3LO
0.125 4.0988289 3.8964172 3.9063353 3.9589617
0.25 4.0988289 3.9295963 3.9113475 3.9356765
0.5 4.0988289 3.9528255 3.9211495 3.9284512
1.0 4.0988289 3.9701022 3.9316101 3.9284357
2.0 4.0988289 3.9833633 3.9412701 3.9311797
4.0 4.0988289 3.9937266 3.9496402 3.934598
8.0 4.0988289 4.0020588 3.9568734 3.9380986

