# create_pdfuncert_schemeB.py -sqrts 100 -Q20
# N3LO cross-section {deltaPDF}
0.00393097374725


# N3LO ptH {ptmin, ptmax, deltaPDF}
0.0 10.0 0.00410300776024
10.0 20.0 0.00409561832884
20.0 30.0 0.00408848084136
30.0 40.0 0.00409695779668
40.0 50.0 0.00414645183437
50.0 60.0 0.00408655184303
60.0 70.0 0.00409849418893
70.0 80.0 0.00408639652468
80.0 90.0 0.00407174145905
90.0 100.0 0.00397004952385
100.0 110.0 0.00407480980431
110.0 120.0 0.0038320035001
120.0 130.0 0.00397419703623
130.0 140.0 0.00400349113809
140.0 150.0 0.00379381433086
150.0 160.0 0.00395529214527
160.0 170.0 0.0037074840888
170.0 180.0 0.00353099470645
180.0 190.0 0.00380963682955
190.0 200.0 0.00380704745339
200.0 210.0 0.0034782029245
210.0 220.0 0.00364366122255
220.0 230.0 0.00388537050971
230.0 240.0 0.00333539429634
240.0 250.0 0.00347715196841
250.0 260.0 0.00309959029171
260.0 270.0 0.0034016420569
270.0 280.0 0.00320942301566
280.0 290.0 0.00420133412863
290.0 300.0 0.0029704527112
300.0 310.0 0.0029758647825
310.0 320.0 0.00359023514259
320.0 330.0 0.00265547778876
330.0 340.0 0.00342165006461
340.0 350.0 0.00320034472997
350.0 360.0 0.00365617953945
360.0 370.0 0.00219616537311
370.0 380.0 0.00357007922966
380.0 390.0 0.00274782567832
390.0 400.0 0.0018577178713
400.0 410.0 0.00321450971331
410.0 420.0 0.00370174423511
420.0 430.0 0.00290236748847
430.0 440.0 0.00153227870558
440.0 450.0 0.00392952364794
450.0 460.0 0.00277313458911
460.0 470.0 0.00273640584407
470.0 480.0 0.00582158328556
480.0 490.0 0.000267335953956
490.0 500.0 0.00282413371527
500.0 510.0 0.00203937860402
510.0 520.0 0.00461647115004
520.0 530.0 0.00102079914768
530.0 540.0 0.00440456290433
540.0 550.0 0.00151562271253
550.0 560.0 0.00153540610518
560.0 570.0 0.00138556229573
570.0 580.0 0.00606173002538
580.0 590.0 0.00119444629254
590.0 600.0 0.00246340239617


# N3LO yH {ptmin, ptmax, deltaPDF}
-6.0 -5.5 0.000344619338061
-5.5 -5.0 0.00169421793928
-5.0 -4.5 0.0022415204315
-4.5 -4.0 0.00303141528019
-4.0 -3.5 0.00335202528446
-3.5 -3.0 0.00347361815191
-3.0 -2.5 0.00370197774843
-2.5 -2.0 0.00385976118328
-2.0 -1.5 0.00403011707423
-1.5 -1.0 0.00417611783914
-1.0 -0.5 0.0043086224195
-0.5 0.0 0.0043443049493
0.0 0.5 0.0043828281819
0.5 1.0 0.0043202330149
1.0 1.5 0.00418177061427
1.5 2.0 0.00399370966167
2.0 2.5 0.00388959448306
2.5 3.0 0.00367806255921
3.0 3.5 0.0034992994673
3.5 4.0 0.00320472156991
4.0 4.5 0.0031461748651
4.5 5.0 0.00238591988771
5.0 5.5 0.0018129117953
5.5 6.0 0.00176041613091


