#  ./merge-energies.sh
# {sqrts, pdf-uncert}
# NNLO cross-section
1 0.00247939077279
7 0.00887249654124
10 0.0100749950329
13 0.0109926210638
20 0.0125006277081
30 0.0138633885069
40 0.0147503334719
60 0.0158158999336
80 0.0164079900631
100 0.0167498944396


