# create_pdfuncert_schemeB.py -sqrts 7 -NNLO -Q5
# NNLO cross-section {deltaPDF}
0.0235291802796


# NNLO ptH {ptmin, ptmax, deltaPDF}
0.0 10.0 0.0263045039317
10.0 20.0 0.0263249623704
20.0 30.0 0.0262694494341
30.0 40.0 0.0259009356336
40.0 50.0 0.0252715119552
50.0 60.0 0.0251047571026
60.0 70.0 0.0244783759686
70.0 80.0 0.0238688652243
80.0 90.0 0.023488333891
90.0 100.0 0.0227608804086
100.0 110.0 0.0221153223007
110.0 120.0 0.0219854037584
120.0 130.0 0.0211068598797
130.0 140.0 0.0206355068276
140.0 150.0 0.020296227104
150.0 160.0 0.0198326934202
160.0 170.0 0.0191910239302
170.0 180.0 0.0196985215856
180.0 190.0 0.0188803610729
190.0 200.0 0.0184699282199
200.0 210.0 0.0185321251189
210.0 220.0 0.0175502690587
220.0 230.0 0.0177374523115
230.0 240.0 0.0176341530394
240.0 250.0 0.0172230146025
250.0 260.0 0.0173528008702
260.0 270.0 0.017104230658
270.0 280.0 0.0159961851125
280.0 290.0 0.0172401457756
290.0 300.0 0.0166295983917
300.0 310.0 0.0155934508435
310.0 320.0 0.0158791205863
320.0 330.0 0.0150707482589
330.0 340.0 0.0170734841371
340.0 350.0 0.0160559728203
350.0 360.0 0.0152188805836
360.0 370.0 0.0143811032863
370.0 380.0 0.015096266876
380.0 390.0 0.0147514101206
390.0 400.0 0.0139959483999
400.0 410.0 0.0143300178354
410.0 420.0 0.0167548936832
420.0 430.0 0.0130523717192
430.0 440.0 0.0141614765451
440.0 450.0 0.0147709432947
450.0 460.0 0.016460721961
460.0 470.0 0.0158740363642
470.0 480.0 0.0102754145975
480.0 490.0 0.0134660009677
490.0 500.0 0.0167359595025
500.0 510.0 0.0112655434927
510.0 520.0 0.0102218144462
520.0 530.0 0.00902631656265
530.0 540.0 0.0182830042197
540.0 550.0 0.00766812691146
550.0 560.0 0.00753245905585
560.0 570.0 0.0189003568214
570.0 580.0 0.0130917835638
580.0 590.0 0.0167481133116
590.0 600.0 0.01385086157


# NNLO yH {ptmin, ptmax, deltaPDF}
-6.0 -5.5 0.0
-5.5 -5.0 0.0
-5.0 -4.5 0.0
-4.5 -4.0 0.575001308585
-4.0 -3.5 0.068383960279
-3.5 -3.0 0.00808015357982
-3.0 -2.5 0.029504925013
-2.5 -2.0 0.0318928896741
-2.0 -1.5 0.0285789527993
-1.5 -1.0 0.0247093960108
-1.0 -0.5 0.0216903938926
-0.5 0.0 0.0199790335256
0.0 0.5 0.0199329384696
0.5 1.0 0.0216860836964
1.0 1.5 0.0247430283196
1.5 2.0 0.0285051884099
2.0 2.5 0.0317421191549
2.5 3.0 0.0296900064727
3.0 3.5 0.00802468362891
3.5 4.0 0.0834757179202
4.0 4.5 0.293668192731
4.5 5.0 0.0
5.0 5.5 0.0
5.5 6.0 0.0


