ptH N3LO-NNLO
0.00000000E+00 0.10000000E+02 -7.4656e-06
0.10000000E+02 0.20000000E+02 -2.1576e-05
0.20000000E+02 0.30000000E+02 -2.9132e-05
0.30000000E+02 0.40000000E+02 -3.3224e-05
0.40000000E+02 0.50000000E+02 -3.6389e-05
0.50000000E+02 0.60000000E+02 -2.7524e-05
0.60000000E+02 0.70000000E+02 -3.1782e-05
0.70000000E+02 0.80000000E+02 -2.0771e-05
0.80000000E+02 0.90000000E+02 -2.4039e-05
0.90000000E+02 0.10000000E+03 -1.4611e-05
0.10000000E+03 0.11000000E+03 -1.3884e-05
0.11000000E+03 0.12000000E+03 -1.3416e-05
0.12000000E+03 0.13000000E+03 -7.223e-06
0.13000000E+03 0.14000000E+03 -6.47e-06
0.14000000E+03 0.15000000E+03 -4.887e-06
0.15000000E+03 0.16000000E+03 -6.4195e-06
0.16000000E+03 0.17000000E+03 -3.1919e-06
0.17000000E+03 0.18000000E+03 -2.9226e-06
0.18000000E+03 0.19000000E+03 -2.5008e-06
0.19000000E+03 0.20000000E+03 -1.7638e-06
0.20000000E+03 0.21000000E+03 -9.981e-07
0.21000000E+03 0.22000000E+03 -1.4799e-06
0.22000000E+03 0.23000000E+03 -1.1085e-06
0.23000000E+03 0.24000000E+03 -4.485e-07
0.24000000E+03 0.25000000E+03 -7.848e-07
0.25000000E+03 0.26000000E+03 -4.164e-07
0.26000000E+03 0.27000000E+03 -4.352e-07
0.27000000E+03 0.28000000E+03 -5.917e-07
0.28000000E+03 0.29000000E+03 -2.8423e-07
0.29000000E+03 0.30000000E+03 -2.7445e-07
0.30000000E+03 0.31000000E+03 -2.3561e-07
0.31000000E+03 0.32000000E+03 -8.694e-08
0.32000000E+03 0.33000000E+03 -6.485e-08
0.33000000E+03 0.34000000E+03 -4.6521e-07
0.34000000E+03 0.35000000E+03 2.211e-08
0.35000000E+03 0.36000000E+03 5.588e-08
0.36000000E+03 0.37000000E+03 -2.1324e-07
0.37000000E+03 0.38000000E+03 -5.416e-08
0.38000000E+03 0.39000000E+03 -2.2325e-07
0.39000000E+03 0.40000000E+03 2.9166e-07
0.40000000E+03 0.41000000E+03 -2.2716e-07
0.41000000E+03 0.42000000E+03 -2.194e-08
0.42000000E+03 0.43000000E+03 -2.251e-08
0.43000000E+03 0.44000000E+03 4.22e-08
0.44000000E+03 0.45000000E+03 -2.063e-09
0.45000000E+03 0.46000000E+03 -9.4064e-08
0.46000000E+03 0.47000000E+03 -1.05204e-07
0.47000000E+03 0.48000000E+03 8.1862e-08
0.48000000E+03 0.49000000E+03 3.4306e-08
0.49000000E+03 0.50000000E+03 -5.3019e-08
0.50000000E+03 0.51000000E+03 -1.259e-08
0.51000000E+03 0.52000000E+03 -8.545e-08
0.52000000E+03 0.53000000E+03 5.8247e-08
0.53000000E+03 0.54000000E+03 2.961e-08
0.54000000E+03 0.55000000E+03 -2.6846e-08
0.55000000E+03 0.56000000E+03 1.7935e-08
0.56000000E+03 0.57000000E+03 1.5384e-08
0.57000000E+03 0.58000000E+03 -2.4474e-08
0.58000000E+03 0.59000000E+03 -7.584e-09
0.59000000E+03 0.60000000E+03 3.4237e-08


