ptH N3LO-NNLO
0.00000000E+00 0.10000000E+02 -7.4688e-06
0.10000000E+02 0.20000000E+02 -2.1614e-05
0.20000000E+02 0.30000000E+02 -2.9107e-05
0.30000000E+02 0.40000000E+02 -3.3225e-05
0.40000000E+02 0.50000000E+02 -3.6416e-05
0.50000000E+02 0.60000000E+02 -2.7512e-05
0.60000000E+02 0.70000000E+02 -3.1795e-05
0.70000000E+02 0.80000000E+02 -2.0765e-05
0.80000000E+02 0.90000000E+02 -2.4057e-05
0.90000000E+02 0.10000000E+03 -1.4613e-05
0.10000000E+03 0.11000000E+03 -1.3886e-05
0.11000000E+03 0.12000000E+03 -1.3411e-05
0.12000000E+03 0.13000000E+03 -7.235e-06
0.13000000E+03 0.14000000E+03 -6.461e-06
0.14000000E+03 0.15000000E+03 -4.888e-06
0.15000000E+03 0.16000000E+03 -6.4227e-06
0.16000000E+03 0.17000000E+03 -3.1963e-06
0.17000000E+03 0.18000000E+03 -2.9215e-06
0.18000000E+03 0.19000000E+03 -2.5014e-06
0.19000000E+03 0.20000000E+03 -1.7646e-06
0.20000000E+03 0.21000000E+03 -9.991e-07
0.21000000E+03 0.22000000E+03 -1.4845e-06
0.22000000E+03 0.23000000E+03 -1.1032e-06
0.23000000E+03 0.24000000E+03 -4.485e-07
0.24000000E+03 0.25000000E+03 -7.852e-07
0.25000000E+03 0.26000000E+03 -4.182e-07
0.26000000E+03 0.27000000E+03 -4.351e-07
0.27000000E+03 0.28000000E+03 -5.904e-07
0.28000000E+03 0.29000000E+03 -2.8642e-07
0.29000000E+03 0.30000000E+03 -2.7309e-07
0.30000000E+03 0.31000000E+03 -2.3603e-07
0.31000000E+03 0.32000000E+03 -8.788e-08
0.32000000E+03 0.33000000E+03 -6.39e-08
0.33000000E+03 0.34000000E+03 -4.6613e-07
0.34000000E+03 0.35000000E+03 2.202e-08
0.35000000E+03 0.36000000E+03 5.607e-08
0.36000000E+03 0.37000000E+03 -2.1326e-07
0.37000000E+03 0.38000000E+03 -5.364e-08
0.38000000E+03 0.39000000E+03 -2.2346e-07
0.39000000E+03 0.40000000E+03 2.9171e-07
0.40000000E+03 0.41000000E+03 -2.2751e-07
0.41000000E+03 0.42000000E+03 -2.203e-08
0.42000000E+03 0.43000000E+03 -2.22e-08
0.43000000E+03 0.44000000E+03 4.217e-08
0.44000000E+03 0.45000000E+03 -2.102e-09
0.45000000E+03 0.46000000E+03 -9.4071e-08
0.46000000E+03 0.47000000E+03 -1.05109e-07
0.47000000E+03 0.48000000E+03 8.0235e-08
0.48000000E+03 0.49000000E+03 3.5653e-08
0.49000000E+03 0.50000000E+03 -5.2896e-08
0.50000000E+03 0.51000000E+03 -1.2702e-08
0.51000000E+03 0.52000000E+03 -8.536e-08
0.52000000E+03 0.53000000E+03 5.8239e-08
0.53000000E+03 0.54000000E+03 2.9108e-08
0.54000000E+03 0.55000000E+03 -2.6359e-08
0.55000000E+03 0.56000000E+03 1.7928e-08
0.56000000E+03 0.57000000E+03 1.5379e-08
0.57000000E+03 0.58000000E+03 -2.4479e-08
0.58000000E+03 0.59000000E+03 -7.588e-09
0.59000000E+03 0.60000000E+03 3.4233e-08


