# create_pdfuncert_schemeB.py -sqrts 10 -Q40
# N3LO cross-section {deltaPDF}
0.00172451554712


# N3LO ptH {ptmin, ptmax, deltaPDF}
0.0 10.0 0.00214251091448
10.0 20.0 0.00216483849658
20.0 30.0 0.00211303457848
30.0 40.0 0.0020606528733
40.0 50.0 0.00199103773548
50.0 60.0 0.00192230402215
60.0 70.0 0.00184394655553
70.0 80.0 0.00173584254165
80.0 90.0 0.0017184050557
90.0 100.0 0.00159825239418
100.0 110.0 0.00155927477218
110.0 120.0 0.00151197283404
120.0 130.0 0.00140480791608
130.0 140.0 0.00134534024202
140.0 150.0 0.00156230399615
150.0 160.0 0.00126547232104
160.0 170.0 0.001166255256
170.0 180.0 0.00123595558706
180.0 190.0 0.00118220745625
190.0 200.0 0.000972136657771
200.0 210.0 0.00147109046996
210.0 220.0 0.00106221344161
220.0 230.0 0.000869149896259
230.0 240.0 0.00127142741256
240.0 250.0 0.000936937561258
250.0 260.0 0.00145081352784
260.0 270.0 0.000877413132876
270.0 280.0 0.00100579434176
280.0 290.0 0.00108291360425
290.0 300.0 0.000873578995834
300.0 310.0 0.00121009794158
310.0 320.0 0.000486136053163
320.0 330.0 0.00135512180942
330.0 340.0 0.000599418033734
340.0 350.0 0.00144835374316
350.0 360.0 0.00146865984453
360.0 370.0 0.000404680622575
370.0 380.0 0.00181797893616
380.0 390.0 0.000581096670916
390.0 400.0 0.000903288704698
400.0 410.0 0.00078190242632
410.0 420.0 0.00130357746647
420.0 430.0 0.00102778416407
430.0 440.0 0.00135341074309
440.0 450.0 0.000712209493376
450.0 460.0 0.000729198708336
460.0 470.0 0.00183843843181
470.0 480.0 0.000281652298166
480.0 490.0 0.00140458408306
490.0 500.0 0.000528229518449
500.0 510.0 0.0024084936791
510.0 520.0 0.00172706873523
520.0 530.0 0.00277117254033
530.0 540.0 0.000839527691697
540.0 550.0 0.00122168938975
550.0 560.0 0.00254864805606
560.0 570.0 0.000289938746185
570.0 580.0 0.00135890098712
580.0 590.0 0.00277301689821
590.0 600.0 0.0012560925556


# N3LO yH {ptmin, ptmax, deltaPDF}
-6.0 -5.5 0.0
-5.5 -5.0 0.0
-5.0 -4.5 0.0
-4.5 -4.0 0.0191799099582
-4.0 -3.5 0.000567190145656
-3.5 -3.0 0.00293219524556
-3.0 -2.5 0.00325141783083
-2.5 -2.0 0.00286085188768
-2.0 -1.5 0.0023507440726
-1.5 -1.0 0.00172903566683
-1.0 -0.5 0.00132700830297
-0.5 0.0 0.00111531277139
0.0 0.5 0.00112049526708
0.5 1.0 0.00134952967018
1.0 1.5 0.00173846003302
1.5 2.0 0.00232678615628
2.0 2.5 0.00284829257139
2.5 3.0 0.00334178337826
3.0 3.5 0.00262997476734
3.5 4.0 0.000269402506111
4.0 4.5 0.00913933507982
4.5 5.0 0.0
5.0 5.5 0.0
5.5 6.0 0.0


