#  ./merge-energies-schemeB.sh
# {sqrts, pdf-uncert}
# N3LO cross-section
1 0.0011183073166
7 0.00141650395855
10 0.00172451554712
13 0.00199097060441
20 0.00246490826142
30 0.00291632052814
40 0.00322413377381
60 0.00359416905462
80 0.00380219686953
100 0.00393097374725


# NNLO cross-section
1 0.00550551447985
7 0.0294083130982
10 0.0335512456696
13 0.0367334492299
20 0.0421113939951
30 0.0471878834168
40 0.0506874529859
60 0.0553041720999
80 0.0582688323048
100 0.0603686016264


