# Q = 200 GeV
#   x           F3(W+)e- LO     F3(W-)e+ LO     F3(W+)e- NLO    F3(W-)e+ NLO   F3 W+(e-) NNLO  F3 W-(e+) NNLO              	
1.000000e-05      0.0               0.0               0.0            0.0        3.714085e+02     -3.730705e+02
1.122018e-05      0.0               0.0               0.0            0.0	3.314166e+02     -3.328563e+02
1.258925e-05      0.0               0.0               0.0            0.0	2.959787e+02     -2.973358e+02
1.412538e-05      0.0               0.0               0.0            0.0	2.629168e+02     -2.640389e+02
1.584893e-05      0.0               0.0               0.0            0.0	2.345595e+02     -2.356670e+02
1.778279e-05      0.0               0.0               0.0            0.0	2.087685e+02     -2.100216e+02
1.995262e-05      0.0               0.0               0.0            0.0	1.849290e+02     -1.863219e+02
2.238721e-05      0.0               0.0               0.0            0.0	1.627318e+02     -1.642177e+02
2.511886e-05      0.0               0.0               0.0            0.0	1.447561e+02     -1.461843e+02
2.818383e-05      0.0               0.0               0.0            0.0	1.257598e+02     -1.273432e+02
3.162278e-05      0.0               0.0               0.0            0.0	1.112971e+02     -1.128412e+02
3.548134e-05      0.0               0.0               0.0            0.0	9.940331e+01     -1.008443e+02
3.981072e-05      0.0               0.0               0.0            0.0	8.780163e+01     -8.915392e+01
4.466836e-05      0.0               0.0               0.0            0.0	7.582993e+01     -7.746380e+01
5.011872e-05      0.0               0.0               0.0            0.0	6.676698e+01     -6.809543e+01
5.623413e-05      0.0               0.0               0.0            0.0	5.880585e+01     -6.018583e+01
6.309573e-05      0.0               0.0               0.0            0.0	5.162098e+01     -5.315890e+01
7.079458e-05      0.0               0.0               0.0            0.0	4.549682e+01     -4.709597e+01
7.943282e-05      0.0               0.0               0.0            0.0	3.965399e+01     -4.078607e+01
8.912509e-05      0.0               0.0               0.0            0.0	3.440148e+01     -3.576556e+01
1.000000e-04      0.0               0.0               0.0            0.0	2.996167e+01     -3.142771e+01
1.122018e-04      0.0               0.0               0.0            0.0	2.617526e+01     -2.754570e+01
1.258925e-04      0.0               0.0               0.0            0.0	2.285237e+01     -2.417164e+01
1.412538e-04      0.0               0.0               0.0            0.0	1.992506e+01     -2.113464e+01
1.584893e-04      0.0               0.0               0.0            0.0	1.736939e+01     -1.854560e+01
1.778279e-04      0.0               0.0               0.0            0.0	1.510127e+01     -1.628549e+01
1.995262e-04      0.0               0.0               0.0            0.0	1.309343e+01     -1.427462e+01
2.238721e-04      0.0               0.0               0.0            0.0	1.131982e+01     -1.248251e+01
2.511886e-04      0.0               0.0               0.0            0.0	9.818192e+00     -1.090710e+01
2.818383e-04      0.0               0.0               0.0            0.0	8.429609e+00     -9.531300e+00
3.162278e-04      0.0               0.0               0.0            0.0	7.281292e+00     -8.321760e+00
3.548134e-04      0.0               0.0               0.0            0.0	6.307453e+00     -7.267299e+00
3.981072e-04      0.0               0.0               0.0            0.0	5.440081e+00     -6.341834e+00
4.466836e-04      0.0               0.0               0.0            0.0	4.624583e+00     -5.577422e+00
5.011872e-04      0.0               0.0               0.0            0.0	3.987904e+00     -4.833129e+00
5.623413e-04      0.0               0.0               0.0            0.0	3.411487e+00     -4.225762e+00
6.309573e-04      0.0               0.0               0.0            0.0	2.900740e+00     -3.705832e+00
7.079458e-04      0.0               0.0               0.0            0.0	2.466644e+00     -3.244986e+00
7.943282e-04      0.0               0.0               0.0            0.0	2.132298e+00     -2.760809e+00
8.912509e-04      0.0               0.0               0.0            0.0	1.781495e+00     -2.467707e+00
1.000000e-03      0.0               0.0               0.0            0.0	1.492495e+00     -2.185935e+00
1.122018e-03      0.0               0.0               0.0            0.0	1.263338e+00     -1.900147e+00
1.258925e-03      0.0               0.0               0.0            0.0	1.061997e+00     -1.656410e+00
1.412538e-03      0.0               0.0               0.0            0.0	8.968226e-01     -1.435321e+00
1.584893e-03      0.0               0.0               0.0            0.0	7.472585e-01     -1.251768e+00
1.778279e-03      0.0               0.0               0.0            0.0	6.142752e-01     -1.101378e+00
1.995262e-03      0.0               0.0               0.0            0.0	5.014271e-01     -9.716711e-01
2.238721e-03      0.0               0.0               0.0            0.0	4.068226e-01     -8.587575e-01
