# MSTW_F2e+p_LO_Q100.C
# i  x  result
0 1e-05 50.8685
1 1.122018e-05 49.47727
2 1.258925e-05 48.08902
3 1.412538e-05 46.70919
4 1.584893e-05 45.34322
5 1.778279e-05 43.99655
6 1.995262e-05 42.67461
7 2.238721e-05 41.37732
8 2.511886e-05 40.10009
9 2.818383e-05 38.84225
10 3.162278e-05 37.60312
11 3.548134e-05 36.38204
12 3.981072e-05 35.17832
13 4.466836e-05 34.00113
14 5.011872e-05 32.8565
15 5.623413e-05 31.73619
16 6.309573e-05 30.63444
17 7.079458e-05 29.562
18 7.943282e-05 28.51362
19 8.912509e-05 27.48232
20 0.0001 26.48938
21 0.0001122018 25.53207
22 0.0001258925 24.58722
23 0.0001412538 23.65863
24 0.0001584893 22.75008
25 0.0001778279 21.86537
26 0.0001995262 21.00829
27 0.0002238721 20.18078
28 0.0002511886 19.3802
29 0.0002818383 18.6036
30 0.0003162278 17.84799
31 0.0003548134 17.11042
32 0.0003981072 16.3879
33 0.0004466836 15.69068
34 0.0005011872 15.02636
35 0.0005623413 14.38434
36 0.0006309573 13.75668
37 0.0007079458 13.15399
38 0.0007943282 12.57125
39 0.0008912509 12.00249
40 0.001 11.46384
41 0.001122018 10.95273
42 0.001258925 10.45185
43 0.001412538 9.963427
44 0.001584893 9.489677
45 0.001778279 9.032823
46 0.001995262 8.595085
47 0.002238721 8.178298
48 0.002511886 7.781112
49 0.002818383 7.400921
50 0.003162278 7.035119
51 0.003548134 6.681099
52 0.003981072 6.336256
53 0.004466836 6.007563
54 0.005011872 5.700467
55 0.005623413 5.40742
56 0.006309573 5.12265
57 0.007079458 4.853075
58 0.007943282 4.595434
59 0.008912509 4.348039
60 0.01 4.114161
61 0.01122018 3.891191
62 0.01258925 3.677188
63 0.01412538 3.473034
64 0.01584893 3.278857
65 0.01778279 3.093901
66 0.01995262 2.917543
67 0.02238721 2.749719
68 0.02511886 2.589774
69 0.02818383 2.436113
70 0.03162278 2.28774
71 0.03548134 2.147245
72 0.03981072 2.013608
73 0.04466836 1.885359
74 0.05011872 1.761848
75 0.05623413 1.642382
76 0.06309573 1.52666
77 0.07079458 1.416466
78 0.07943282 1.310143
79 0.08912509 1.207142
80 0.1 1.107986
81 0.1122018 1.012092
82 0.1258925 0.9191807
83 0.1412538 0.8293112
84 0.1584893 0.7420468
85 0.1778279 0.6572765
86 0.1995262 0.574691
87 0.2238721 0.4941289
88 0.2511886 0.4155849
89 0.2818383 0.3395905
90 0.3162278 0.2669613
91 0.3548134 0.199364
92 0.3981072 0.1389704
93 0.4466836 0.08819373
94 0.5011872 0.04918062
95 0.5623413 0.02281489
96 0.6309573 0.008038902
97 0.7079458 0.001816317
98 0.7943282 0.0001814218
99 0.8912509 2.84048e-06
