# MSTW_F3e+p_NLO_Q100.C
# i  x  result
0 1e-05 7.851718
1 1.122018e-05 7.570941
2 1.258925e-05 7.296574
3 1.412538e-05 7.028844
4 1.584893e-05 6.767851
5 1.778279e-05 6.513545
6 1.995262e-05 6.265795
7 2.238721e-05 6.024469
8 2.511886e-05 5.789514
9 2.818383e-05 5.560946
10 3.162278e-05 5.338816
11 3.548134e-05 5.123209
12 3.981072e-05 4.914123
13 4.466836e-05 4.7114
14 5.011872e-05 4.514782
15 5.623413e-05 4.324185
16 6.309573e-05 4.139612
17 7.079458e-05 3.960941
18 7.943282e-05 3.788026
19 8.912509e-05 3.620729
20 0.0001 3.458796
21 0.0001122018 3.302002
22 0.0001258925 3.150452
23 0.0001412538 3.004241
24 0.0001584893 2.863365
25 0.0001778279 2.727707
26 0.0001995262 2.597073
27 0.0002238721 2.471236
28 0.0002511886 2.350021
29 0.0002818383 2.233318
30 0.0003162278 2.121093
31 0.0003548134 2.013333
32 0.0003981072 1.910015
33 0.0004466836 1.810976
34 0.0005011872 1.715932
35 0.0005623413 1.624749
36 0.0006309573 1.537389
37 0.0007079458 1.45372
38 0.0007943282 1.373607
39 0.0008912509 1.296957
40 0.001 1.223552
41 0.001122018 1.153201
42 0.001258925 1.085904
43 0.001412538 1.02169
44 0.001584893 0.9605258
45 0.001778279 0.9023206
46 0.001995262 0.8469381
47 0.002238721 0.7942069
48 0.002511886 0.7439809
49 0.002818383 0.6961585
50 0.003162278 0.6506846
51 0.003548134 0.607527
52 0.003981072 0.5666769
53 0.004466836 0.5280064
54 0.005011872 0.4913414
55 0.005623413 0.4565809
56 0.006309573 0.4236895
57 0.007079458 0.3925902
58 0.007943282 0.3631974
59 0.008912509 0.3354554
60 0.01 0.3092734
61 0.01122018 0.2845889
62 0.01258925 0.2613544
63 0.01412538 0.2395087
64 0.01584893 0.2189941
65 0.01778279 0.199749
66 0.01995262 0.181721
67 0.02238721 0.1648548
68 0.02511886 0.1491134
69 0.02818383 0.1344487
70 0.03162278 0.1208354
71 0.03548134 0.1082293
72 0.03981072 0.09655631
73 0.04466836 0.08577941
74 0.05011872 0.07587506
75 0.05623413 0.06681069
76 0.06309573 0.05855187
77 0.07079458 0.0510455
78 0.07943282 0.04424445
79 0.08912509 0.03810935
80 0.1 0.03259658
81 0.1122018 0.02766077
82 0.1258925 0.02326116
83 0.1412538 0.01935663
84 0.1584893 0.01590524
85 0.1778279 0.01287058
86 0.1995262 0.01022064
87 0.2238721 0.007926881
88 0.2511886 0.005967357
89 0.2818383 0.00432482
90 0.3162278 0.002985077
91 0.3548134 0.00193396
92 0.3981072 0.001153326
93 0.4466836 0.0006157374
94 0.5011872 0.0002828154
95 0.5623413 0.0001051088
96 0.6309573 2.852797e-05
97 0.7079458 4.694437e-06
98 0.7943282 3.216183e-07
99 0.8912509 1.599925e-08
