# MSTW_F2e+p_NNLO_Q100.C
# i  x  result
0 1e-05 48.99444
1 1.122018e-05 47.63723
2 1.258925e-05 46.28558
3 1.412538e-05 44.94369
4 1.584893e-05 43.61567
5 1.778279e-05 42.30578
6 1.995262e-05 41.0193
7 2.238721e-05 39.75875
8 2.511886e-05 38.51887
9 2.818383e-05 37.29959
10 3.162278e-05 36.10071
11 3.548134e-05 34.92165
12 3.981072e-05 33.75979
13 4.466836e-05 32.61894
14 5.011872e-05 31.51127
15 5.623413e-05 30.43046
16 6.309573e-05 29.36703
17 7.079458e-05 28.33204
18 7.943282e-05 27.32302
19 8.912509e-05 26.32692
20 0.0001 25.36099
21 0.0001122018 24.44024
22 0.0001258925 23.53291
23 0.0001412538 22.64186
24 0.0001584893 21.76988
25 0.0001778279 20.91982
26 0.0001995262 20.0949
27 0.0002238721 19.29828
28 0.0002511886 18.52822
29 0.0002818383 17.78249
30 0.0003162278 17.05879
31 0.0003548134 16.35434
32 0.0003981072 15.66408
33 0.0004466836 14.9923
34 0.0005011872 14.35424
35 0.0005623413 13.74071
36 0.0006309573 13.13965
37 0.0007079458 12.56212
38 0.0007943282 12.00607
39 0.0008912509 11.46044
40 0.001 10.93887
41 0.001122018 10.45132
42 0.001258925 9.974056
43 0.001412538 9.508816
44 0.001584893 9.057286
45 0.001778279 8.621142
46 0.001995262 8.2022
47 0.002238721 7.80278
48 0.002511886 7.422487
49 0.002818383 7.059234
50 0.003162278 6.710872
51 0.003548134 6.374933
52 0.003981072 6.047435
53 0.004466836 5.731225
54 0.005011872 5.43722
55 0.005623413 5.158678
56 0.006309573 4.88702
57 0.007079458 4.62949
58 0.007943282 4.384562
59 0.008912509 4.148095
60 0.01 3.924649
61 0.01122018 3.712654
62 0.01258925 3.508957
63 0.01412538 3.314391
64 0.01584893 3.129454
65 0.01778279 2.953396
66 0.01995262 2.785552
67 0.02238721 2.625806
68 0.02511886 2.474085
69 0.02818383 2.328799
70 0.03162278 2.187915
71 0.03548134 2.05431
72 0.03981072 1.927659
73 0.04466836 1.806263
74 0.05011872 1.689651
75 0.05623413 1.577068
76 0.06309573 1.467483
77 0.07079458 1.363137
78 0.07943282 1.262882
79 0.08912509 1.165256
80 0.1 1.0715
81 0.1122018 0.9806239
82 0.1258925 0.8926572
83 0.1412538 0.807451
84 0.1584893 0.7247709
85 0.1778279 0.644525
86 0.1995262 0.5663862
87 0.2238721 0.4902017
88 0.2511886 0.4158394
89 0.2818383 0.3437092
90 0.3162278 0.274217
91 0.3548134 0.2088031
92 0.3981072 0.1492819
93 0.4466836 0.09804709
94 0.5011872 0.0573641
95 0.5623413 0.02863451
96 0.6309573 0.01147717
97 0.7079458 0.003415474
98 0.7943282 0.0007033575
99 0.8912509 7.022646e-05
