# Q = 200 GeV
#   x           F2(W+)e- LO     F2(W-)e+ LO     F2(W+)e- NLO    F2(W-)e+ NLO   F2 W+(e-) NNLO  F2 W-(e+) NNLO              	
1.995262e-03	8.414184e+00    8.203373e+00    1.052029e+01    8.319265e+00    -1.162578e-01   -1.163808e-01
2.238721e-03	8.008358e+00    7.803481e+00    9.968775e+00    7.911158e+00    -1.080169e-01   -1.081411e-01
2.511886e-03	7.624520e+00    7.425746e+00    9.449651e+00    7.524998e+00    -9.956512e-02   -9.968970e-02
2.818383e-03	7.251554e+00    7.056663e+00    8.946860e+00    7.149618e+00    -9.324592e-02   -9.337414e-02
3.162278e-03	6.901484e+00    6.711148e+00    8.477359e+00    6.797021e+00    -8.613816e-02   -8.626791e-02
3.548134e-03	6.564154e+00    6.378688e+00    8.026211e+00    6.456995e+00    -7.854355e-02   -7.867438e-02
x3.981072e-03	6.229416e+00    6.048054e+00    7.578552e+00    6.119327e+00    -7.148116e-02   -7.161802e-02
4.466836e-03	5.907757e+00    5.727926e+00    7.149775e+00    5.794524e+00    -6.679186e-02   -6.692975e-02
5.011872e-03	5.618495e+00    5.441244e+00    6.766956e+00    5.501790e+00    -6.069866e-02   -6.085583e-02
5.623413e-03	5.335999e+00    5.160239e+00    6.393860e+00    5.215560e+00    -5.544971e-02   -5.561277e-02
6.309573e-03	5.061606e+00    4.886172e+00    6.032107e+00    4.937052e+00    -5.098704e-02   -5.115603e-02
7.079458e-03	4.807288e+00    4.631847e+00    5.698327e+00    4.678051e+00    -4.627231e-02   -4.646292e-02
7.943282e-03	4.560987e+00    4.384727e+00    5.375703e+00    4.426635e+00    -4.191692e-02   -4.215151e-02
8.912509e-03	4.326317e+00    4.148168e+00    5.069361e+00    4.186452e+00    -3.831017e-02   -3.851307e-02
1.000000e-02	4.106530e+00    3.925250e+00    4.783288e+00    3.960065e+00    -3.478699e-02   -3.503086e-02
1.122018e-02	3.898706e+00    3.713343e+00    4.513570e+00    3.744822e+00    -3.137139e-02   -3.168061e-02
1.258925e-02	3.699404e+00    3.509444e+00    4.255753e+00    3.537863e+00    -2.831929e-02   -2.860792e-02
1.412538e-02	3.511290e+00    3.314634e+00    4.012857e+00    3.340347e+00    -2.554615e-02   -2.589064e-02
1.584893e-02	3.334201e+00    3.129944e+00    3.784928e+00    3.153170e+00    -2.301041e-02   -2.339228e-02
1.778279e-02	3.167027e+00    2.953931e+00    3.570361e+00    2.974782e+00    -2.060178e-02   -2.100660e-02
1.995262e-02	3.009875e+00    2.786108e+00    3.369185e+00    2.804876e+00    -1.849298e-02   -1.891229e-02
2.238721e-02	2.861557e+00    2.625195e+00    3.179853e+00    2.642388e+00    -1.694292e-02   -1.732860e-02
2.511886e-02	2.726264e+00    2.475566e+00    3.007598e+00    2.490885e+00    -1.494750e-02   -1.544394e-02
2.818383e-02	2.594567e+00    2.329108e+00    2.840570e+00    2.342759e+00    -1.330812e-02   -1.376659e-02
3.162278e-02	2.470826e+00    2.188370e+00    2.683855e+00    2.200623e+00    -1.192389e-02   -1.236042e-02
3.548134e-02	2.356467e+00    2.054866e+00    2.539486e+00    2.065937e+00    -1.074585e-02   -1.116996e-02
3.981072e-02	2.250445e+00    1.928423e+00    2.406418e+00    1.938370e+00    -9.643232e-03   -1.003804e-02
4.466836e-02	2.150016e+00    1.806122e+00    2.280946e+00    1.815352e+00    -9.139342e-03   -9.314122e-03
5.011872e-02	2.059305e+00    1.691444e+00    2.167969e+00    1.699517e+00    -7.920771e-03   -8.148463e-03
5.623413e-02	1.969485e+00    1.578235e+00    2.056766e+00    1.585443e+00    -7.158145e-03   -7.276397e-03
6.309573e-02	1.882598e+00    1.468095e+00    1.950045e+00    1.474689e+00    -6.779358e-03   -6.658350e-03
7.079458e-02	1.804517e+00    1.365234e+00    1.855103e+00    1.371083e+00    -6.094727e-03   -5.892549e-03
7.943282e-02	1.724323e+00    1.263443e+00    1.758821e+00    1.268829e+00    -5.990091e-03   -5.454049e-03
8.912509e-02	1.651096e+00    1.167657e+00    1.671697e+00    1.172236e+00    -5.233314e-03   -4.611538e-03
1.000000e-01	1.575437e+00    1.073499e+00    1.583298e+00    1.077766e+00    -5.118192e-03   -4.286743e-03
1.122018e-01	1.499893e+00    9.828873e-01    1.496473e+00    9.867459e-01    -4.940331e-03   -3.874349e-03
1.258925e-01	1.423329e+00    8.952403e-01    1.409924e+00    8.986649e-01    -4.692482e-03   -3.436769e-03
1.412538e-01	1.343980e+00    8.103093e-01    1.321925e+00    8.133921e-01    -4.514064e-03   -3.091716e-03
1.584893e-01	1.261183e+00    7.278266e-01    1.231723e+00    7.305582e-01    -4.295743e-03   -2.737418e-03
1.778279e-01	1.174020e+00    6.477279e-01    1.138475e+00    6.501119e-01    -4.074031e-03   -2.386762e-03
1.995262e-01	1.081782e+00    5.696193e-01    1.041485e+00    5.716592e-01    -3.783994e-03   -2.039753e-03
2.238721e-01	9.842438e-01    4.933221e-01    9.405474e-01    4.949775e-01    -3.364707e-03   -1.652619e-03
2.511886e-01	8.811116e-01    4.186439e-01    8.354704e-01    4.198819e-01    -2.911449e-03   -1.232585e-03
2.818383e-01	7.730021e-01    3.459443e-01    7.269369e-01    3.467319e-01    -2.365563e-03   -7.801010e-04
3.162278e-01	6.610651e-01    2.758286e-01    6.161808e-01    2.761288e-01    -1.654701e-03   -2.911364e-04
3.548134e-01	5.470384e-01    2.096237e-01    5.049697e-01    2.094618e-01    -8.724321e-04   1.718326e-04 
3.981072e-01	4.337573e-01    1.493139e-01    3.961182e-01    1.487897e-01    -6.249256e-05   5.340029e-04 
4.466836e-01	3.249408e-01    9.728693e-02    2.931877e-01    9.656446e-02    6.723720e-04    7.310396e-04 
5.011872e-01	2.253258e-01    5.608786e-02    2.004985e-01    5.534516e-02    1.242565e-03    7.492626e-04 
5.623413e-01	1.401450e-01    2.712178e-02    1.226840e-01    2.653939e-02    1.509415e-03    5.865357e-04 
6.309573e-01	7.414828e-02    1.007787e-02    6.364387e-02    9.742728e-03    1.404600e-03    3.371431e-04 
7.079458e-01	3.028996e-02    2.452717e-03    2.536247e-02    2.329066e-03    9.737634e-04    1.242627e-04 
7.943282e-01	7.655040e-03    2.721196e-04    6.193256e-03    2.501899e-04    4.359375e-04    2.202429e-05 
8.912509e-01	5.951488e-04    4.032378e-06    4.549432e-04    3.661520e-06    6.470252e-05    3.723258e-07 
