# create_bands_n3lo.py -sqrts 50
# LO cross-section {center, min, max}
0.027491901 0.027013792 0.027921356 


# LO ptHH {ptmin, ptmax, center, min, max}
3.7 3.8 0.00010358648 0.00010358648 0.00010851829 
3.8 3.9 7.2063707e-05 7.0972092e-05 8.0274811e-05 
3.9 4.0 4.7292463e-05 4.1344719e-05 4.7292463e-05 
4.0 4.1 2.6393578e-05 2.6393578e-05 2.8815101e-05 
4.1 4.2 1.9864739e-05 1.489531e-05 1.9864739e-05 
4.2 4.3 1.0867531e-05 1.0867531e-05 1.464566e-05 
4.3 4.4 4.4614507e-06 4.4614507e-06 6.4969622e-06 
4.4 4.5 2.1292746e-06 1.8782622e-06 2.1292746e-06 
4.5 4.6 8.4100191e-07 7.1517987e-07 1.7001679e-06 
4.6 4.7 5.9558763e-07 3.2917456e-07 5.9558763e-07 
4.7 4.8 9.4853387e-07 -1.2951917e-07 9.4853387e-07 
4.8 4.9 3.4329712e-08 3.4329712e-08 1.2894269e-07 
4.9 5.0 1.6661365e-10 1.6661365e-10 2.060311e-08 


# LO mHH {ptmin, ptmax, center, min, max}
0.0 200.0 0.0 0.0 0.0 
200.0 400.0 2.9973424e-05 2.925118e-05 3.0431227e-05 
400.0 600.0 4.0902825e-05 4.0748393e-05 4.0902825e-05 
600.0 800.0 2.4230903e-05 2.3720172e-05 2.4680942e-05 
800.0 1000.0 1.4114914e-05 1.3651311e-05 1.4594354e-05 
1000.0 1200.0 8.6101116e-06 8.2568176e-06 9.0092677e-06 
1200.0 1400.0 5.4866481e-06 5.1899261e-06 5.814212e-06 
1400.0 1600.0 3.6508999e-06 3.4438175e-06 3.8955545e-06 
1600.0 1800.0 2.5237028e-06 2.3668966e-06 2.7408972e-06 
1800.0 2000.0 1.8175251e-06 1.6742293e-06 1.9566019e-06 


# LO phiHH {ptmin, ptmax, center, min, max}
0.0 0.31415927 0.0038020774 0.0037302671 0.0038777249 
0.31415927 0.62831853 0.0039229467 0.0038487273 0.0040151578 
