# create_scale_scan.py
# N3LO scale-scan_cross-section
# mu LO NLO NNLO N3LO
0.125 0.009897771 0.0080846714 0.0083483901 0.0083375436 
0.25 0.0094904422 0.0083492001 0.0083626155 0.0083986285 
0.5 0.0090616159 0.0084477077 0.0083910428 0.0084039823 
1.0 0.0086508524 0.0084714157 0.0084119258 0.0084071871 
2.0 0.0082691771 0.0084556363 0.0084243 0.0084126003 
4.0 0.0079168775 0.008417005 0.0084309646 0.0084209132 
8.0 0.0075918492 0.0083637487 0.0084336212 0.008432033 

