# create_lambda_band.py -l 1.0 -n3lo
# N3LO cross-section {center, min, max}
0.0084047344 0.0084019139 0.008412005 


# N3LO ptHH {ptmin, ptmax, center, min, max}
3.4 3.5 1.7818365e-05 1.7813388e-05 1.7877548e-05 
3.5 3.6 1.0698403e-05 1.0680235e-05 1.0726728e-05 
3.6 3.7 6.2128098e-06 6.1877962e-06 6.2169831e-06 
3.7 3.8 3.4160863e-06 3.4049646e-06 3.4253718e-06 
3.8 3.9 1.6534953e-06 1.6404501e-06 1.6550668e-06 
3.9 4.0 7.1680087e-07 7.1316369e-07 7.2594982e-07 
4.0 4.1 2.8503058e-07 2.8306757e-07 2.8965348e-07 
4.1 4.2 1.1171806e-07 1.0898148e-07 1.1171806e-07 
4.2 4.3 2.8307305e-08 2.7766611e-08 2.9533703e-08 
4.3 4.4 4.8251205e-09 4.7607856e-09 4.9435992e-09 
4.4 4.5 5.3998198e-10 4.4299053e-10 5.8642914e-10 
4.5 4.6 4.6882736e-11 4.2186988e-11 5.2017085e-11 
4.6 4.7 7.8746551e-15 7.5727303e-15 1.2519344e-14 
4.7 4.8 0.0 0.0 0.0 
4.8 4.9 0.0 0.0 0.0 
4.9 5.0 0.0 0.0 0.0 


# N3LO mHH {ptmin, ptmax, center, min, max}
0.0 200.0 0.0 0.0 0.0 
200.0 400.0 1.0654982e-05 1.0650958e-05 1.0668588e-05 
400.0 600.0 1.3576661e-05 1.3572208e-05 1.3590128e-05 
600.0 800.0 7.4387073e-06 7.4361541e-06 7.4442877e-06 
800.0 1000.0 4.0065923e-06 4.0051932e-06 4.0087746e-06 
1000.0 1200.0 2.2728716e-06 2.2722612e-06 2.2741931e-06 
1200.0 1400.0 1.3600269e-06 1.3595019e-06 1.3603374e-06 
1400.0 1600.0 8.4957682e-07 8.4938743e-07 8.4992667e-07 
1600.0 1800.0 5.5017504e-07 5.4997475e-07 5.502694e-07 
1800.0 2000.0 3.7005336e-07 3.6978243e-07 3.7015308e-07 


# N3LO phiHH {ptmin, ptmax, center, min, max}
0.0 0.31415927 0.0011436596 0.0011434479 0.001144671 
0.31415927 0.62831853 0.0011741151 0.0011737307 0.0011749828 
0.62831853 0.9424778 0.0012550818 0.0012546231 0.0012558985 
0.9424778 1.2566371 0.0014153204 0.0014151073 0.0014165708 
1.2566371 1.5707963 0.0016719378 0.0016711141 0.0016729937 
1.5707963 1.8849556 0.0020656035 0.0020652577 0.0020674502 
1.8849556 2.1991149 0.0026786246 0.0026777919 0.0026809343 
2.1991149 2.5132741 0.0036053954 0.0036044127 0.0036085359 
2.5132741 2.8274334 0.0049975029 0.0049952428 0.0050019082 
2.8274334 3.1415927 0.0067458575 0.0067428977 0.006752298 


# N3LO ptH_h {ptmin, ptmax, center, min, max}
0.0 30.0 3.0658143e-06 3.0635533e-06 3.0707103e-06 
30.0 60.0 2.6270626e-05 2.6254696e-05 2.6304246e-05 
60.0 90.0 5.0671372e-05 5.0649858e-05 5.0726712e-05 
90.0 120.0 5.4122861e-05 5.4106496e-05 5.4168747e-05 
120.0 150.0 4.4401256e-05 4.4385692e-05 4.443817e-05 
150.0 180.0 3.2017564e-05 3.2010003e-05 3.2040761e-05 
180.0 210.0 2.1780184e-05 2.177488e-05 2.1793346e-05 
210.0 240.0 1.4522256e-05 1.4517249e-05 1.4529977e-05 
240.0 270.0 9.6177744e-06 9.6144834e-06 9.6250405e-06 
270.0 300.0 6.4628309e-06 6.4596671e-06 6.4643403e-06 


# N3LO yH_h {ptmin, ptmax, center, min, max}
-5.0 -4.9 8.8448912e-08 8.7104174e-08 8.8551542e-08 
-4.9 -4.8 2.9717622e-07 2.9279716e-07 3.1828666e-07 
-4.8 -4.7 8.315522e-07 8.1285777e-07 8.3487935e-07 
-4.7 -4.6 1.892053e-06 1.8818459e-06 1.9021378e-06 
-4.6 -4.5 4.0509208e-06 4.0225199e-06 4.058e-06 
-4.5 -4.4 7.3125025e-06 7.309171e-06 7.3418334e-06 
-4.4 -4.3 1.247844e-05 1.2394541e-05 1.247844e-05 
-4.3 -4.2 2.0595382e-05 2.054718e-05 2.0710751e-05 
-4.2 -4.1 3.2128081e-05 3.2008986e-05 3.2205641e-05 
-4.1 -4.0 4.6584227e-05 4.6544531e-05 4.6666112e-05 
-4.0 -3.9 6.6090842e-05 6.6009836e-05 6.617807e-05 
-3.9 -3.8 8.8956473e-05 8.8867776e-05 8.9121373e-05 
-3.8 -3.7 0.00011857577 0.00011835407 0.00011875011 
-3.7 -3.6 0.00015015166 0.00014971932 0.000150323 
-3.6 -3.5 0.00018860635 0.00018842735 0.00018886458 
-3.5 -3.4 0.00022966123 0.00022950466 0.00022992138 
-3.4 -3.3 0.00027820479 0.0002779948 0.00027877891 
-3.3 -3.2 0.0003289475 0.00032862854 0.00032932697 
-3.2 -3.1 0.00038478953 0.00038425056 0.00038527673 
-3.1 -3.0 0.00044190232 0.00044144017 0.00044243365 
-3.0 -2.9 0.00049953137 0.00049938311 0.00050032265 
-2.9 -2.8 0.00056268827 0.00056256541 0.00056318135 
-2.8 -2.7 0.00062912548 0.00062856675 0.00063010603 
-2.7 -2.6 0.00069258229 0.00069252395 0.00069375417 
-2.6 -2.5 0.00076147684 0.00076107327 0.00076207609 
-2.5 -2.4 0.00082683316 0.00082643399 0.00082782899 
-2.4 -2.3 0.00089196301 0.00089124645 0.00089292728 
-2.3 -2.2 0.00095645756 0.00095615018 0.00095735495 
-2.2 -2.1 0.0010240416 0.0010234595 0.0010252659 
-2.1 -2.0 0.0010876212 0.0010871648 0.0010885758 
-2.0 -1.9 0.0011434553 0.00114288 0.0011445637 
-1.9 -1.8 0.0012095707 0.0012084532 0.001210847 
-1.8 -1.7 0.0012696055 0.0012692502 0.001271026 
-1.7 -1.6 0.0013301236 0.0013292703 0.0013309533 
-1.6 -1.5 0.0013840264 0.0013836909 0.0013851724 
-1.5 -1.4 0.0014322968 0.0014316266 0.0014336446 
-1.4 -1.3 0.0014869248 0.0014862344 0.001487981 
-1.3 -1.2 0.0015369764 0.0015364847 0.0015379753 
-1.2 -1.1 0.0015752396 0.0015740359 0.0015762711 
-1.1 -1.0 0.0016172172 0.0016166484 0.0016186929 
-1.0 -0.9 0.001657738 0.0016575296 0.0016588437 
-0.9 -0.8 0.0016927553 0.0016917578 0.0016942825 
-0.8 -0.7 0.0017203479 0.0017194962 0.0017214906 
-0.7 -0.6 0.001747923 0.0017474643 0.0017489799 
-0.6 -0.5 0.0017780183 0.0017771095 0.0017795181 
-0.5 -0.4 0.0017920949 0.0017916574 0.0017932497 
-0.4 -0.3 0.0018153409 0.0018148326 0.0018167447 
-0.3 -0.2 0.0018259355 0.001825386 0.0018272503 
-0.2 -0.1 0.0018312795 0.001829963 0.0018321109 
-0.1 0.0 0.0018382685 0.0018375647 0.0018398343 
0.0 0.1 0.0018350249 0.0018345132 0.0018361996 
0.1 0.2 0.0018287698 0.0018283515 0.0018300837 
0.2 0.3 0.0018252887 0.0018236929 0.0018265825 
0.3 0.4 0.0018135483 0.0018132826 0.0018153993 
0.4 0.5 0.0017933392 0.00179263 0.0017941534 
0.5 0.6 0.001777542 0.0017768407 0.0017784164 
0.6 0.7 0.0017527506 0.0017521574 0.0017542333 
0.7 0.8 0.001718901 0.0017182267 0.0017203539 
0.8 0.9 0.0016881097 0.0016874465 0.0016895531 
0.9 1.0 0.0016568877 0.0016560805 0.0016580105 
1.0 1.1 0.0016188265 0.0016180047 0.0016193749 
1.1 1.2 0.0015796243 0.0015790254 0.0015814334 
1.2 1.3 0.0015342188 0.0015339651 0.001535356 
1.3 1.4 0.0014896832 0.0014891494 0.0014909852 
1.4 1.5 0.0014328016 0.0014319865 0.0014334795 
1.5 1.6 0.0013796202 0.0013793666 0.0013811793 
1.6 1.7 0.0013219726 0.0013217038 0.0013234136 
