# create_lambda_band.py -l 10.0 -nlo
# NLO cross-section {center, min, max}
0.35623799 0.35443599 0.35788219 


# NLO ptHH {ptmin, ptmax, center, min, max}
4.4 4.5 9.9097497e-08 9.5570967e-08 1.1105836e-07 
4.5 4.6 3.0426163e-09 2.0096933e-09 4.1318757e-09 
4.6 4.7 4.0421478e-12 1.9937773e-12 8.9811168e-12 
4.7 4.8 0.0 0.0 0.0 
4.8 4.9 0.0 0.0 0.0 
4.9 5.0 0.0 0.0 0.0 


# NLO mHH {ptmin, ptmax, center, min, max}
0.0 200.0 0.0 0.0 0.0 
200.0 400.0 0.0013933759 0.0013857844 0.0014014132 
400.0 600.0 0.00030666156 0.00030544347 0.00030768199 
600.0 800.0 5.391197e-05 5.3754869e-05 5.4228103e-05 
800.0 1000.0 1.5142125e-05 1.5069862e-05 1.5259341e-05 
1000.0 1200.0 5.7454156e-06 5.6901415e-06 5.7968684e-06 
1200.0 1400.0 2.6102971e-06 2.5787768e-06 2.6357013e-06 
1400.0 1600.0 1.3561173e-06 1.345047e-06 1.3654351e-06 
1600.0 1800.0 8.1756164e-07 8.0811413e-07 8.3505595e-07 
1800.0 2000.0 4.8665758e-07 4.7331821e-07 4.9367849e-07 


# NLO phiHH {ptmin, ptmax, center, min, max}
0.0 0.31415927 0.069421938 0.069125289 0.069662051 
0.31415927 0.62831853 0.067692053 0.06738979 0.067903566 
0.62831853 0.9424778 0.067043511 0.066769631 0.067307403 
0.9424778 1.2566371 0.069012226 0.068661488 0.069284669 
1.2566371 1.5707963 0.074750204 0.074412113 0.075073573 
1.5707963 1.8849556 0.085654853 0.085224188 0.086060303 
1.8849556 2.1991149 0.10479377 0.10425662 0.10529913 
2.1991149 2.5132741 0.13698694 0.13627324 0.1377068 
2.5132741 2.8274334 0.19117854 0.19014711 0.19218085 
2.8274334 3.1415927 0.26740669 0.2659453 0.26874481 


# NLO ptH_h {ptmin, ptmax, center, min, max}
0.0 30.0 0.00010065045 9.976006e-05 0.00010182585 
30.0 60.0 0.00093554514 0.00092845948 0.00094464317 
60.0 90.0 0.0019633475 0.0019507104 0.0019788893 
90.0 120.0 0.002260902 0.0022483103 0.0022754093 
120.0 150.0 0.0019541816 0.0019445392 0.0019635836 
150.0 180.0 0.0014662669 0.0014598724 0.0014719403 
180.0 210.0 0.0010228417 0.0010186773 0.0010262274 
210.0 240.0 0.00069127649 0.00068885248 0.00069410629 
240.0 270.0 0.00046175983 0.00046015578 0.00046374992 
270.0 300.0 0.00030872958 0.0003078288 0.00031027342 


# NLO yH_h {ptmin, ptmax, center, min, max}
-5.0 -4.9 3.5612149e-08 2.8106088e-08 3.7836678e-08 
-4.9 -4.8 3.1434393e-07 3.1216425e-07 3.2659874e-07 
-4.8 -4.7 1.1795178e-06 1.0581506e-06 1.201607e-06 
-4.7 -4.6 2.2900414e-06 2.2900414e-06 2.4120556e-06 
-4.6 -4.5 8.4137618e-06 8.0356329e-06 8.5755589e-06 
-4.5 -4.4 1.9279453e-05 1.8522769e-05 1.9736812e-05 
-4.4 -4.3 4.6992232e-05 4.5194136e-05 4.7947701e-05 
-4.3 -4.2 8.6166949e-05 8.5247732e-05 8.822205e-05 
-4.2 -4.1 0.0001695792 0.00016293315 0.00017239196 
-4.1 -4.0 0.0002966326 0.00029224107 0.0003027608 
-4.0 -3.9 0.00049695735 0.00049106169 0.00050021881 
-3.9 -3.8 0.0008115039 0.0007979618 0.00082100404 
-3.8 -3.7 0.0012212308 0.0012123265 0.001239857 
-3.7 -3.6 0.0017930221 0.0017735165 0.0018067449 
-3.6 -3.5 0.0025590954 0.0025530905 0.0025813414 
-3.5 -3.4 0.0035465854 0.0035105103 0.0035763251 
-3.4 -3.3 0.0047542577 0.0047229624 0.0047855422 
-3.3 -3.2 0.0061699171 0.0061407094 0.0062118062 
-3.2 -3.1 0.0079611868 0.0079191275 0.0080258439 
-3.1 -3.0 0.0098802152 0.009852066 0.0099398221 
-3.0 -2.9 0.012195446 0.012121989 0.01226215 
-2.9 -2.8 0.014651065 0.014579336 0.014757119 
-2.8 -2.7 0.017509775 0.017440706 0.017623063 
-2.7 -2.6 0.020432408 0.02032846 0.020565023 
-2.6 -2.5 0.023652968 0.023500375 0.023803512 
-2.5 -2.4 0.027109478 0.026964051 0.027280749 
-2.4 -2.3 0.030628162 0.030440438 0.03079781 
-2.3 -2.2 0.034184365 0.034000143 0.034403381 
-2.2 -2.1 0.038100137 0.037878578 0.03830265 
-2.1 -2.0 0.041755005 0.041537997 0.042010355 
-2.0 -1.9 0.045647935 0.045371066 0.045882474 
-1.9 -1.8 0.049475143 0.049224157 0.049741299 
-1.8 -1.7 0.053262808 0.052941209 0.053533971 
-1.7 -1.6 0.057027085 0.056702595 0.057323053 
-1.6 -1.5 0.060555746 0.060241956 0.060854219 
-1.5 -1.4 0.064164946 0.063808812 0.064481929 
-1.4 -1.3 0.06739172 0.067019609 0.067701632 
-1.3 -1.2 0.070599337 0.070222522 0.070986647 
-1.2 -1.1 0.073627764 0.073227937 0.074002074 
-1.1 -1.0 0.07625516 0.075884209 0.076657072 
-1.0 -0.9 0.078880008 0.078450799 0.079293199 
-0.9 -0.8 0.081030963 0.080673116 0.081452956 
-0.8 -0.7 0.083284677 0.082831906 0.083754187 
-0.7 -0.6 0.085003726 0.084537537 0.085440829 
-0.6 -0.5 0.086671396 0.086208526 0.087125867 
-0.5 -0.4 0.087952005 0.087495467 0.088410902 
-0.4 -0.3 0.089129872 0.08864268 0.08962706 
-0.3 -0.2 0.089994324 0.089473276 0.090458305 
-0.2 -0.1 0.090454273 0.089973472 0.090947524 
-0.1 0.0 0.090715845 0.090218933 0.091222564 
0.0 0.1 0.090790464 0.090271455 0.091247305 
0.1 0.2 0.09026769 0.089782113 0.090778251 
0.2 0.3 0.089921253 0.089426392 0.090355478 
0.3 0.4 0.089217469 0.088741949 0.08973729 
0.4 0.5 0.088202616 0.087707893 0.088666736 
0.5 0.6 0.086795849 0.086348995 0.08724645 
0.6 0.7 0.085183269 0.08474869 0.085645928 
0.7 0.8 0.083250383 0.08282264 0.083675232 
0.8 0.9 0.080986955 0.080603093 0.081402641 
0.9 1.0 0.07880112 0.07838012 0.079250934 
1.0 1.1 0.076286348 0.075883851 0.076631162 
1.1 1.2 0.073459348 0.073074152 0.073878169 
1.2 1.3 0.07045398 0.070083478 0.070795187 
1.3 1.4 0.067232544 0.066914225 0.067574532 
1.4 1.5 0.064170036 0.063780648 0.064505785 
1.5 1.6 0.060680544 0.060345758 0.060967287 
1.6 1.7 0.056993736 0.056703299 0.057291614 
1.7 1.8 0.053234579 0.052927322 0.053497841 
1.8 1.9 0.049532985 0.049236059 0.049800186 
1.9 2.0 0.045743967 0.045498549 0.045982105 
2.0 2.1 0.041890314 0.041648947 0.042133906 
2.1 2.2 0.038078098 0.03784648 0.038307496 
2.2 2.3 0.034295952 0.034108536 0.034476211 
2.3 2.4 0.030529147 0.030383121 0.030719197 
2.4 2.5 0.027052133 0.02686353 0.027232463 
2.5 2.6 0.023664434 0.023568302 0.023817622 
2.6 2.7 0.020432321 0.020330454 0.020549128 
2.7 2.8 0.017363723 0.017264785 0.017477265 
2.8 2.9 0.014737837 0.014676346 0.014838389 
2.9 3.0 0.012191308 0.012118165 0.012278297 
3.0 3.1 0.0099104649 0.0098825841 0.0099796717 
3.1 3.2 0.0078765128 0.0078457329 0.0079258056 
3.2 3.3 0.0061897654 0.0061593187 0.006227085 
3.3 3.4 0.0047689772 0.004748229 0.0048011333 
3.4 3.5 0.0035514779 0.0035267666 0.0035838339 
3.5 3.6 0.0025588727 0.0025420283 0.0025802236 
3.6 3.7 0.0017722806 0.0017607627 0.0017883811 
3.7 3.8 0.0012176798 0.0012008199 0.0012313085 
3.8 3.9 0.00080280106 0.00078922444 0.0008141563 
3.9 4.0 0.00049581319 0.00049029111 0.00050179957 
4.0 4.1 0.00029631681 0.00029257663 0.00029715472 
4.1 4.2 0.00017013146 0.00016714097 0.00017502042 
4.2 4.3 8.4195043e-05 8.2750125e-05 8.6081854e-05 
4.3 4.4 4.4861136e-05 4.3762766e-05 4.5962813e-05 
4.4 4.5 1.8034945e-05 1.794052e-05 1.8468455e-05 
4.5 4.6 8.9067882e-06 8.1457582e-06 8.9067882e-06 
4.6 4.7 3.1314591e-06 2.93503e-06 3.151926e-06 
4.7 4.8 6.644231e-07 6.1905901e-07 8.758067e-07 
4.8 4.9 1.922904e-07 1.8595612e-07 2.0753018e-07 
4.9 5.0 4.3490958e-08 2.5627184e-08 4.3882257e-08 


# NLO ptH_s {ptmin, ptmax, center, min, max}
0.0 30.0 0.0015717728 0.0015619785 0.0015835479 
30.0 60.0 0.0031497811 0.0031316012 0.0031701249 
60.0 90.0 0.0027243363 0.002710177 0.0027385185 
90.0 120.0 0.0017813601 0.0017732001 0.0017885474 
120.0 150.0 0.0010540273 0.0010495315 0.0010575858 
150.0 180.0 0.00060964553 0.00060742184 0.00061184806 
180.0 210.0 0.00035729987 0.00035591424 0.00035875427 
210.0 240.0 0.00021484975 0.00021421237 0.0002159185 
240.0 270.0 0.00013291649 0.00013249069 0.00013366454 
270.0 300.0 8.5271355e-05 8.5019129e-05 8.5738629e-05 


# NLO yH_s {ptmin, ptmax, center, min, max}
-5.0 -4.9 3.8222404e-07 3.578222e-07 5.2544461e-07 
-4.9 -4.8 1.1924208e-06 1.0252607e-06 1.2503225e-06 
-4.8 -4.7 1.6400927e-06 1.5942371e-06 1.9870827e-06 
-4.7 -4.6 6.1689783e-06 5.9024323e-06 8.1032162e-06 
-4.6 -4.5 1.6213201e-05 1.4562371e-05 1.6614607e-05 
