# create_lambda_band.py -l 10 -e 14 -lo
# LO cross-section {center, min, max}
0.1051343 0.099497858 0.11134043 


# LO ptHH {ptmin, ptmax, center, min, max}
4.3 4.4 0.0 0.0 0.0 
4.4 4.5 0.0 0.0 0.0 
4.5 4.6 0.0 0.0 0.0 
4.6 4.7 0.0 0.0 0.0 
4.7 4.8 0.0 0.0 0.0 
4.8 4.9 0.0 0.0 0.0 
4.9 5.0 0.0 0.0 0.0 


# LO mHH {ptmin, ptmax, center, min, max}
0.0 200.0 0.0 0.0 0.0 
200.0 400.0 0.00042651682 0.00040549915 0.00044922397 
400.0 600.0 8.2132807e-05 7.6538248e-05 8.8563384e-05 
600.0 800.0 1.2291305e-05 1.1224281e-05 1.3554212e-05 
800.0 1000.0 2.9878998e-06 2.6913034e-06 3.3583391e-06 
1000.0 1200.0 9.7257749e-07 8.6837919e-07 1.0997144e-06 
1200.0 1400.0 3.9243042e-07 3.4231035e-07 4.5569904e-07 
1400.0 1600.0 1.7714219e-07 1.5302574e-07 2.0809026e-07 
1600.0 1800.0 8.7969872e-08 7.6241665e-08 1.0398759e-07 
1800.0 2000.0 4.4587855e-08 3.8400609e-08 5.4760029e-08 


# LO phiHH {ptmin, ptmax, center, min, max}
0.0 0.31415927 0.019135145 0.018029113 0.020370935 
0.31415927 0.62831853 0.018932052 0.017859621 0.020133037 
0.62831853 0.9424778 0.019067241 0.018007159 0.020245571 
0.9424778 1.2566371 0.019937599 0.018849873 0.021135264 
1.2566371 1.5707963 0.021849893 0.02068595 0.023140883 
1.5707963 1.8849556 0.025334678 0.024003481 0.026803529 
1.8849556 2.1991149 0.031309033 0.029684602 0.033084091 
2.1991149 2.5132741 0.041214109 0.039081788 0.043550828 
2.5132741 2.8274334 0.057679403 0.054663835 0.06097591 
2.8274334 3.1415927 0.080193717 0.075846097 0.084967542 


# LO ptH_h {ptmin, ptmax, center, min, max}
0.0 30.0 3.5665591e-05 3.4648554e-05 3.6607284e-05 
30.0 60.0 0.000320269 0.00030906695 0.00033122716 
60.0 90.0 0.00064411253 0.00061736666 0.00067194289 
90.0 120.0 0.00070936977 0.00067525595 0.0007459734 
120.0 150.0 0.0005857304 0.00055405698 0.00062054428 
150.0 180.0 0.00041926897 0.00039418233 0.0004474334 
180.0 210.0 0.00027902565 0.00026085115 0.00029974925 
210.0 240.0 0.00017997772 0.0001673491 0.00019458239 
240.0 270.0 0.00011453397 0.00010601167 0.00012443902 
270.0 300.0 7.3341451e-05 6.7555791e-05 8.0140197e-05 


# LO yH_h {ptmin, ptmax, center, min, max}
