# create_lambda_band.py -l -5 -e 14 -n3lo
# N3LO cross-section {center, min, max}
0.064757228 0.064735549 0.064805282 


# N3LO ptHH {ptmin, ptmax, center, min, max}
-1.7 -1.6 0.0091063793 0.0091006582 0.0091160726 
-1.6 -1.5 0.010197844 0.010194151 0.010208865 
-1.5 -1.4 0.011321703 0.011316307 0.011331615 
-1.4 -1.3 0.01243999 0.012433576 0.012450884 
-1.3 -1.2 0.013521317 0.013516602 0.013532347 
-1.2 -1.1 0.014560837 0.014555918 0.014574421 
-1.1 -1.0 0.015561088 0.015555708 0.015570993 
-1.0 -0.9 0.016528359 0.016525509 0.016542821 
-0.9 -0.8 0.017413156 0.017406769 0.017422676 
-0.8 -0.7 0.018197514 0.018192096 0.018211406 
-0.7 -0.6 0.018925008 0.018920451 0.018937735 
-0.6 -0.5 0.019564833 0.019558093 0.019575797 
-0.5 -0.4 0.020104822 0.020096665 0.020116668 
-0.4 -0.3 0.020524634 0.020519221 0.02053726 
-0.3 -0.2 0.020853999 0.02084993 0.020865321 
-0.2 -0.1 0.021047798 0.02104264 0.021062543 
-0.1 0.0 0.021148201 0.021142591 0.021159244 
0.0 0.1 0.021170411 0.021162461 0.021182455 
0.1 0.2 0.021057606 0.021053294 0.021070854 
0.2 0.3 0.020862036 0.020856027 0.020876149 
0.3 0.4 0.020551807 0.020546483 0.020562318 
0.4 0.5 0.020104126 0.020099589 0.02011709 
0.5 0.6 0.019551942 0.019546036 0.01956332 
0.6 0.7 0.018934022 0.018927433 0.018946998 
0.7 0.8 0.018196979 0.01818818 0.0182079 
0.8 0.9 0.017407528 0.0174039 0.017419391 
0.9 1.0 0.016491674 0.016486576 0.01650547 
1.0 1.1 0.015616752 0.0156111 0.015628301 
1.1 1.2 0.014538407 0.014533734 0.014550486 
1.2 1.3 0.01355525 0.013549449 0.013566201 
1.3 1.4 0.012449802 0.012444503 0.012460117 
1.4 1.5 0.011317417 0.011311639 0.011326997 
1.5 1.6 0.010207302 0.01020265 0.01021967 
1.6 1.7 0.0091086326 0.0091044599 0.0091186193 
1.7 1.8 0.0080137682 0.0080066658 0.0080178703 
1.8 1.9 0.0069509582 0.0069466813 0.0069600398 
1.9 2.0 0.0059502679 0.0059452932 0.0059553708 
2.0 2.1 0.0050108245 0.0050099492 0.0050198175 
2.1 2.2 0.0041539041 0.0041485187 0.0041580184 
2.2 2.3 0.0033474095 0.0033454266 0.003349557 
2.3 2.4 0.0026412397 0.0026377817 0.0026443165 
2.4 2.5 0.002045316 0.0020430303 0.0020467344 
2.5 2.6 0.0015318538 0.001530671 0.0015334359 
2.6 2.7 0.0010960406 0.001095008 0.0010971154 
2.7 2.8 0.00076804759 0.00076687775 0.00076866843 
2.8 2.9 0.00050890074 0.0005079033 0.0005091625 
2.9 3.0 0.00031944447 0.00031910544 0.0003195977 
3.0 3.1 0.00018919852 0.00018880783 0.00018944293 
3.1 3.2 0.00010354053 0.00010337451 0.00010359732 
3.2 3.3 5.1019842e-05 5.1016371e-05 5.1081007e-05 
3.3 3.4 2.2848594e-05 2.2670204e-05 2.2879289e-05 
3.4 3.5 8.6889502e-06 8.6211473e-06 8.7435241e-06 
3.5 3.6 2.6971778e-06 2.6780877e-06 2.7172133e-06 
3.6 3.7 6.0647871e-07 5.9754774e-07 6.1101162e-07 
3.7 3.8 1.0361656e-07 1.0121995e-07 1.045233e-07 
3.8 3.9 7.2435978e-09 6.2793628e-09 7.9483877e-09 
3.9 4.0 4.9825412e-11 4.8907238e-11 6.5530478e-11 
4.0 4.1 6.4963516e-16 1.7770607e-16 3.9829764e-14 
4.1 4.2 0.0 0.0 0.0 
