# create_lambda_band.py -l -4 -e 14 -nnlo
# NNLO cross-section {center, min, max}
0.047112896 0.046984641 0.047186289 


# NNLO ptHH {ptmin, ptmax, center, min, max}
4.0 4.1 1.6884113e-15 0.0 1.6884113e-15 
4.1 4.2 0.0 0.0 0.0 
4.2 4.3 0.0 0.0 0.0 
4.3 4.4 0.0 0.0 0.0 
4.4 4.5 0.0 0.0 0.0 
4.5 4.6 0.0 0.0 0.0 
4.6 4.7 0.0 0.0 0.0 
4.7 4.8 0.0 0.0 0.0 
4.8 4.9 0.0 0.0 0.0 
4.9 5.0 0.0 0.0 0.0 


# NNLO mHH {ptmin, ptmax, center, min, max}
0.0 200.0 0.0 0.0 0.0 
200.0 400.0 0.00017077997 0.00017031063 0.00017113089 
400.0 600.0 4.9328505e-05 4.9195844e-05 4.9382475e-05 
600.0 800.0 1.0297216e-05 1.0271348e-05 1.0305066e-05 
800.0 1000.0 3.0644458e-06 3.0560774e-06 3.0664718e-06 
1000.0 1200.0 1.1275689e-06 1.1245999e-06 1.1280137e-06 
1200.0 1400.0 4.8102045e-07 4.7822765e-07 4.8142752e-07 
1400.0 1600.0 2.2457214e-07 2.2350016e-07 2.2489485e-07 
1600.0 1800.0 1.113415e-07 1.1074648e-07 1.1170042e-07 
1800.0 2000.0 6.1653532e-08 6.0804096e-08 6.1653532e-08 


# NNLO phiHH {ptmin, ptmax, center, min, max}
0.0 0.31415927 0.0069783912 0.0069611068 0.0069892794 
0.31415927 0.62831853 0.0070869005 0.0070720979 0.0070954914 
0.62831853 0.9424778 0.0074020548 0.0073853341 0.0074130211 
0.9424778 1.2566371 0.0080921275 0.0080719557 0.0081024733 
1.2566371 1.5707963 0.0092311574 0.0092098094 0.0092459709 
1.5707963 1.8849556 0.011164996 0.011137575 0.011182192 
1.8849556 2.1991149 0.014286121 0.014249284 0.01430873 
2.1991149 2.5132741 0.019372608 0.019320887 0.019403833 
