# create_lambda_band.py -l 7 -e 100 -n3lo
# N3LO cross-section {center, min, max}
1.1317963 1.1313926 1.1332442 


# N3LO ptHH {ptmin, ptmax, center, min, max}
4.8 4.9 0.0018639952 0.0018601325 0.0018730922 
4.9 5.0 0.0011044844 0.0011025192 0.0011082881 


# N3LO mHH {ptmin, ptmax, center, min, max}
0.0 200.0 0.0 0.0 0.0 
200.0 400.0 0.0042306836 0.0042291523 0.004236191 
400.0 600.0 0.0010127208 0.0010123637 0.001013998 
600.0 800.0 0.00021322495 0.00021315203 0.0002134588 
800.0 1000.0 7.6819046e-05 7.6811561e-05 7.692328e-05 
1000.0 1200.0 3.7855014e-05 3.7825081e-05 3.7908513e-05 
1200.0 1400.0 2.2174468e-05 2.2160359e-05 2.2200853e-05 
1400.0 1600.0 1.4414683e-05 1.440237e-05 1.4414683e-05 
1600.0 1800.0 1.0044525e-05 1.0044525e-05 1.0057225e-05 
1800.0 2000.0 7.4207538e-06 7.4149773e-06 7.4407623e-06 


# N3LO phiHH {ptmin, ptmax, center, min, max}
0.0 0.31415927 0.25544027 0.25536112 0.25567167 
0.31415927 0.62831853 0.24203301 0.2420328 0.24220297 
0.62831853 0.9424778 0.2315543 0.2314739 0.23175778 
0.9424778 1.2566371 0.23129231 0.23122956 0.23151593 
1.2566371 1.5707963 0.24358765 0.24348138 0.24384476 
1.5707963 1.8849556 0.2725727 0.27251236 0.27287521 
1.8849556 2.1991149 0.32561063 0.32548657 0.32600572 
2.1991149 2.5132741 0.41770563 0.41756291 0.41824479 
2.5132741 2.8274334 0.57483056 0.57459663 0.57571477 
2.8274334 3.1415927 0.80799236 0.80759397 0.80939459 


# N3LO ptH_h {ptmin, ptmax, center, min, max}
0.0 30.0 0.0002470912 0.0002469034 0.00024760917 
30.0 60.0 0.0024033611 0.0024020243 0.002408097 
60.0 90.0 0.0053519114 0.0053492884 0.005360956 
90.0 120.0 0.0065392902 0.0065366261 0.0065488157 
120.0 150.0 0.0059818498 0.0059799545 0.0059894848 
150.0 180.0 0.0047462218 0.0047448258 0.0047515339 
180.0 210.0 0.00350069 0.0034996229 0.0035044049 
210.0 240.0 0.0024923654 0.0024916881 0.0024947028 
240.0 270.0 0.0017542258 0.0017537568 0.0017558556 
270.0 300.0 0.0012356364 0.0012352805 0.0012366612 


# N3LO yH_h {ptmin, ptmax, center, min, max}
-5.0 -4.9 0.002568287 0.002568287 0.0025757283 
-4.9 -4.8 0.0036103096 0.0036072886 0.003622666 
-4.8 -4.7 0.0049632446 0.0049564239 0.0049767506 
-4.7 -4.6 0.0067225357 0.0067122025 0.006743225 
-4.6 -4.5 0.0087848056 0.0087784047 0.0088147904 
-4.5 -4.4 0.011157563 0.01114559 0.011195592 
-4.4 -4.3 0.014067924 0.01404516 0.014110379 
-4.3 -4.2 0.017515384 0.017508246 0.017565156 
-4.2 -4.1 0.021171205 0.021146254 0.021204469 
-4.1 -4.0 0.025496221 0.025480194 0.025579174 
-4.0 -3.9 0.0300295 0.030016352 0.030089418 
-3.9 -3.8 0.034691132 0.034654152 0.034776303 
-3.8 -3.7 0.040558018 0.040558018 0.040659568 
-3.7 -3.6 0.045834817 0.045803778 0.045917448 
-3.6 -3.5 0.051665122 0.051609614 0.051770511 
-3.5 -3.4 0.057769819 0.057767171 0.057913539 
-3.4 -3.3 0.06429324 0.064233044 0.06439478 
-3.3 -3.2 0.070848171 0.070836073 0.070983703 
-3.2 -3.1 0.077295879 0.077290632 0.077482493 
-3.1 -3.0 0.083525726 0.083495246 0.083609757 
-3.0 -2.9 0.090983744 0.090894506 0.091141548 
-2.9 -2.8 0.097000483 0.096991912 0.097146186 
-2.8 -2.7 0.10394765 0.10391223 0.10412891 
-2.7 -2.6 0.11052004 0.11045893 0.11067806 
-2.6 -2.5 0.11722242 0.11714127 0.1173673 
-2.5 -2.4 0.12394783 0.12394783 0.12416988 
-2.4 -2.3 0.13002952 0.13000104 0.13018495 
-2.3 -2.2 0.1361403 0.13605551 0.13633761 
-2.2 -2.1 0.1422525 0.1422223 0.1424097 
-2.1 -2.0 0.14799963 0.14790142 0.14817904 
-2.0 -1.9 0.15340398 0.15339629 0.15364505 
-1.9 -1.8 0.15929086 0.15907676 0.15946961 
-1.8 -1.7 0.16430951 0.16423565 0.16452044 
-1.7 -1.6 0.1691913 0.1691885 0.16933508 
-1.6 -1.5 0.17332813 0.17323311 0.17357412 
-1.5 -1.4 0.17807656 0.17803097 0.17828428 
-1.4 -1.3 0.18202857 0.18189973 0.18218932 
-1.3 -1.2 0.18538589 0.18537323 0.18563367 
-1.2 -1.1 0.18914094 0.18909242 0.18934514 
-1.1 -1.0 0.1919237 0.19179003 0.19208326 
-1.0 -0.9 0.19511924 0.1950888 0.19538342 
-0.9 -0.8 0.19760392 0.19748803 0.19780037 
-0.8 -0.7 0.19978101 0.19973277 0.19999859 
-0.7 -0.6 0.20282133 0.2027543 0.20297861 
-0.6 -0.5 0.20357228 0.20349997 0.20379659 
-0.5 -0.4 0.20563041 0.20555698 0.20587864 
-0.4 -0.3 0.20693513 0.20682401 0.20712732 
-0.3 -0.2 0.20772254 0.20764702 0.20791154 
-0.2 -0.1 0.20812642 0.20802198 0.20835284 
-0.1 0.0 0.20850283 0.20844168 0.20870247 
0.0 0.1 0.20874079 0.20866541 0.20898455 
0.1 0.2 0.20794428 0.20786517 0.20810947 
0.2 0.3 0.20749103 0.20740804 0.20770948 
0.3 0.4 0.20675063 0.20666517 0.20696974 
0.4 0.5 0.20576188 0.20565458 0.20599246 
0.5 0.6 0.20399315 0.20393514 0.20419842 
0.6 0.7 0.20259823 0.20250971 0.20277283 
0.7 0.8 0.20058079 0.20048253 0.20076835 
0.8 0.9 0.19787863 0.19783278 0.198089 
0.9 1.0 0.1952346 0.19516923 0.19544245 
1.0 1.1 0.19207434 0.19200569 0.19229389 
1.1 1.2 0.18855775 0.18846254 0.18874531 
1.2 1.3 0.18576216 0.18566795 0.18599489 
1.3 1.4 0.1817061 0.18162959 0.18191253 
1.4 1.5 0.17763675 0.1775339 0.17782257 
1.5 1.6 0.17344571 0.17339917 0.17361706 
1.6 1.7 0.16897213 0.16890249 0.1691708 
1.7 1.8 0.16428923 0.16425776 0.16449246 
1.8 1.9 0.15878937 0.15872074 0.15899111 
1.9 2.0 0.15335537 0.15330793 0.15359746 
2.0 2.1 0.14757757 0.14754228 0.14773677 
2.1 2.2 0.1422878 0.14223598 0.14244266 
2.2 2.3 0.13643219 0.13638711 0.13666088 
2.3 2.4 0.1302158 0.13016033 0.1303659 
