# create_lambda_band.py -l -5.0 -nlo
# NLO cross-section {center, min, max}
0.22703297 0.22588131 0.22801753 


# NLO ptHH {ptmin, ptmax, center, min, max}
4.3 4.4 5.2427622e-07 4.7633563e-07 5.2759032e-07 
4.4 4.5 5.3400206e-08 4.6537921e-08 6.0360651e-08 
4.5 4.6 1.5949042e-09 1.1868458e-09 1.7300736e-09 
4.6 4.7 4.5387874e-12 6.9059117e-13 6.0628909e-12 
4.7 4.8 0.0 0.0 0.0 
4.8 4.9 0.0 0.0 0.0 
4.9 5.0 0.0 0.0 0.0 


# NLO mHH {ptmin, ptmax, center, min, max}
0.0 200.0 0.0 0.0 0.0 
200.0 400.0 0.00079308404 0.00078857758 0.00079794849 
400.0 600.0 0.0002487294 0.00024771254 0.00024955902 
600.0 800.0 5.7688979e-05 5.7507036e-05 5.8026575e-05 
800.0 1000.0 1.9113571e-05 1.9009196e-05 1.9264062e-05 
1000.0 1200.0 7.7996462e-06 7.7289446e-06 7.8714226e-06 
1200.0 1400.0 3.6841964e-06 3.661218e-06 3.7264792e-06 
1400.0 1600.0 1.9422152e-06 1.8962124e-06 1.96489e-06 
1600.0 1800.0 1.1073599e-06 1.0915593e-06 1.1155156e-06 
1800.0 2000.0 6.559479e-07 6.4412162e-07 6.6840276e-07 


# NLO phiHH {ptmin, ptmax, center, min, max}
0.0 0.31415927 0.035907523 0.035742857 0.03603558 
0.31415927 0.62831853 0.036057624 0.03588579 0.036189029 
0.62831853 0.9424778 0.037178924 0.037021078 0.037325652 
0.9424778 1.2566371 0.040049137 0.039859234 0.040197361 
1.2566371 1.5707963 0.045184459 0.044961965 0.045381966 
1.5707963 1.8849556 0.053964881 0.053701335 0.054195775 
1.8849556 2.1991149 0.068381131 0.068032635 0.068688621 
2.1991149 2.5132741 0.091999876 0.09152559 0.092432253 
2.5132741 2.8274334 0.13059693 0.12990283 0.1312162 
2.8274334 3.1415927 0.1833479 0.18236924 0.18418619 


# NLO ptH_h {ptmin, ptmax, center, min, max}
0.0 30.0 6.9098318e-05 6.8512912e-05 6.9889555e-05 
30.0 60.0 0.00062961983 0.00062494607 0.00063552605 
60.0 90.0 0.0012917063 0.0012835092 0.0013014548 
90.0 120.0 0.0014602498 0.0014521136 0.0014690029 
120.0 150.0 0.0012452165 0.0012390902 0.0012506947 
150.0 180.0 0.00092319967 0.00091909561 0.00092666216 
180.0 210.0 0.00063783447 0.00063529181 0.0006399447 
210.0 240.0 0.0004265219 0.00042504423 0.00042835413 
240.0 270.0 0.0002824276 0.00028142425 0.00028364408 
270.0 300.0 0.00018661689 0.00018604904 0.00018765607 


# NLO yH_h {ptmin, ptmax, center, min, max}
-5.0 -4.9 1.2738818e-07 1.1678128e-07 1.514933e-07 
-4.9 -4.8 5.7458447e-07 5.2082031e-07 6.0775347e-07 
-4.8 -4.7 2.1337097e-06 2.0251024e-06 2.2033108e-06 
-4.7 -4.6 5.5103631e-06 5.377529e-06 5.9110841e-06 
-4.6 -4.5 1.3128932e-05 1.2385772e-05 1.3402168e-05 
-4.5 -4.4 3.0347407e-05 2.998626e-05 3.1053581e-05 
-4.4 -4.3 5.7892811e-05 5.6392132e-05 5.8923099e-05 
-4.3 -4.2 0.00010376727 0.00010110593 0.00010543427 
-4.2 -4.1 0.00018302379 0.00017944082 0.00018454161 
-4.1 -4.0 0.00030606105 0.00030013833 0.00031181122 
-4.0 -3.9 0.00047118432 0.00046534959 0.00047844915 
-3.9 -3.8 0.00071098215 0.0007039488 0.00071727246 
-3.8 -3.7 0.0010327618 0.0010219891 0.0010416641 
-3.7 -3.6 0.0014651029 0.0014489563 0.0014766377 
-3.6 -3.5 0.0019988383 0.0019859437 0.0020166317 
-3.5 -3.4 0.0026832024 0.0026761391 0.0027017329 
-3.4 -3.3 0.0035085025 0.0034805945 0.0035284015 
-3.3 -3.2 0.004450363 0.0044439428 0.0044882041 
-3.2 -3.1 0.0056020934 0.005569833 0.0056331096 
-3.1 -3.0 0.0068852971 0.0068568377 0.0069312088 
-3.0 -2.9 0.0083449437 0.0083100831 0.00839458 
-2.9 -2.8 0.0099048006 0.0098589364 0.0099650018 
-2.8 -2.7 0.011699489 0.011630487 0.011774517 
-2.7 -2.6 0.013547796 0.013490775 0.013633966 
-2.6 -2.5 0.015565221 0.015479661 0.015667771 
-2.5 -2.4 0.017616969 0.017517147 0.017716876 
-2.4 -2.3 0.019758361 0.019637418 0.019873181 
-2.3 -2.2 0.022137059 0.022025764 0.022258448 
-2.2 -2.1 0.024436734 0.024275497 0.024573781 
-2.1 -2.0 0.026766189 0.02660423 0.026916849 
-2.0 -1.9 0.029067769 0.028907903 0.029222537 
-1.9 -1.8 0.031493286 0.031321469 0.031646784 
-1.8 -1.7 0.033844612 0.033654942 0.034008777 
-1.7 -1.6 0.036059145 0.035877372 0.036241497 
-1.6 -1.5 0.038457926 0.038227868 0.0386215 
-1.5 -1.4 0.040448995 0.040225949 0.04066698 
-1.4 -1.3 0.042499914 0.042294711 0.042686653 
-1.3 -1.2 0.044601988 0.044354279 0.044821162 
-1.2 -1.1 0.046415593 0.04617765 0.046667846 
-1.1 -1.0 0.048177275 0.047935324 0.048397514 
-1.0 -0.9 0.049770702 0.049510807 0.050015947 
-0.9 -0.8 0.051189911 0.050912143 0.05144939 
-0.8 -0.7 0.052435153 0.052182152 0.052700109 
-0.7 -0.6 0.053655469 0.053361225 0.053922152 
-0.6 -0.5 0.054638971 0.054375249 0.054926001 
-0.5 -0.4 0.055580892 0.055280146 0.055854418 
-0.4 -0.3 0.056213467 0.055901625 0.056498197 
-0.3 -0.2 0.05680523 0.056494378 0.057099373 
-0.2 -0.1 0.057075192 0.056746121 0.057365022 
-0.1 0.0 0.057268896 0.056962355 0.057575185 
0.0 0.1 0.057305441 0.057003237 0.057583415 
0.1 0.2 0.057122419 0.056800733 0.057422387 
0.2 0.3 0.056694626 0.056375514 0.056967077 
0.3 0.4 0.056349832 0.056048404 0.056638581 
0.4 0.5 0.0555359 0.055241716 0.055824793 
0.5 0.6 0.054815473 0.054517582 0.055091588 
0.6 0.7 0.053814331 0.053550005 0.054098965 
0.7 0.8 0.05247924 0.052209712 0.052745467 
0.8 0.9 0.051219275 0.050965472 0.051446327 
0.9 1.0 0.049698601 0.049449691 0.049984442 
1.0 1.1 0.048152788 0.047896753 0.048372444 
1.1 1.2 0.046346122 0.046110825 0.04654246 
1.2 1.3 0.044519109 0.044282181 0.044762605 
1.3 1.4 0.042541169 0.042311597 0.042750424 
1.4 1.5 0.040531506 0.040308144 0.040717049 
1.5 1.6 0.038388817 0.03816103 0.038569703 
1.6 1.7 0.036166278 0.035985705 0.036349049 
1.7 1.8 0.033845399 0.033655283 0.034017619 
1.8 1.9 0.031558359 0.031370154 0.031706114 
1.9 2.0 0.029104993 0.028932725 0.029268774 
2.0 2.1 0.026751522 0.02660212 0.026893198 
2.1 2.2 0.024413845 0.024277749 0.024545066 
2.2 2.3 0.022086591 0.021978968 0.022220505 
2.3 2.4 0.019814132 0.019701817 0.019931397 
2.4 2.5 0.017578049 0.017461531 0.01768087 
2.5 2.6 0.015524345 0.015445831 0.015623575 
2.6 2.7 0.01355346 0.013470265 0.013624051 
2.7 2.8 0.011647021 0.011608714 0.011722145 
2.8 2.9 0.0099496558 0.0098921821 0.010006313 
2.9 3.0 0.0082980482 0.0082558097 0.0083649398 
3.0 3.1 0.0068792036 0.0068578422 0.0069180347 
3.1 3.2 0.005611433 0.0055867385 0.0056491202 
