# create_lambda_band.py -l -9.0 -n3lo
# N3LO cross-section {center, min, max}
0.56757395 0.56738133 0.56819123 


# N3LO ptHH {ptmin, ptmax, center, min, max}
4.4 4.5 1.5606506e-07 1.50857e-07 1.5836136e-07 
4.5 4.6 5.888961e-09 5.7896751e-09 6.0981664e-09 
4.6 4.7 1.5816289e-11 7.6042958e-12 1.8748284e-11 
4.7 4.8 0.0 0.0 0.0 
4.8 4.9 0.0 0.0 0.0 
4.9 5.0 0.0 0.0 0.0 


# N3LO mHH {ptmin, ptmax, center, min, max}
0.0 200.0 0.0 0.0 0.0 
200.0 400.0 0.0020513136 0.0020506047 0.0020537107 
400.0 600.0 0.00059169267 0.00059149885 0.00059225035 
600.0 800.0 0.00012657727 0.00012654116 0.00012667681 
800.0 1000.0 3.8818744e-05 3.8807927e-05 3.8845869e-05 
1000.0 1200.0 1.4851408e-05 1.4839531e-05 1.4855213e-05 
1200.0 1400.0 6.6581183e-06 6.6562132e-06 6.6605763e-06 
1400.0 1600.0 3.2808576e-06 3.2777197e-06 3.2827301e-06 
1600.0 1800.0 1.7407334e-06 1.7407334e-06 1.7455849e-06 
1800.0 2000.0 1.0531382e-06 1.0506763e-06 1.0531382e-06 


# N3LO phiHH {ptmin, ptmax, center, min, max}
0.0 0.31415927 0.093987177 0.093955974 0.094070151 
0.31415927 0.62831853 0.093742246 0.093720418 0.093819616 
0.62831853 0.9424778 0.095795283 0.095772012 0.095882708 
0.9424778 1.2566371 0.10201047 0.10198202 0.10210671 
1.2566371 1.5707963 0.11417615 0.11413861 0.1142827 
1.5707963 1.8849556 0.13515359 0.13511172 0.13528248 
1.8849556 2.1991149 0.17010052 0.17005951 0.17027998 
2.1991149 2.5132741 0.22739391 0.22731768 0.22763691 
2.5132741 2.8274334 0.32209003 0.32197872 0.32247398 
2.8274334 3.1415927 0.45219462 0.45198899 0.45277362 


# N3LO ptH_h {ptmin, ptmax, center, min, max}
0.0 30.0 0.00016888543 0.00016876548 0.00016920326 
30.0 60.0 0.0015497224 0.0015489805 0.0015522604 
60.0 90.0 0.0031999664 0.0031986332 0.0032042764 
90.0 120.0 0.0036389007 0.0036376339 0.0036431623 
120.0 150.0 0.0031158995 0.0031149049 0.0031190063 
150.0 180.0 0.0023191952 0.0023185953 0.002321428 
180.0 210.0 0.0016052731 0.0016048076 0.0016066048 
210.0 240.0 0.0010769627 0.0010767045 0.0010778652 
240.0 270.0 0.0007140504 0.0007138831 0.00071455591 
270.0 300.0 0.00047364785 0.00047347934 0.0004739699 


# N3LO yH_h {ptmin, ptmax, center, min, max}
-5.0 -4.9 2.2327899e-07 2.2304521e-07 2.2435766e-07 
-4.9 -4.8 1.1947158e-06 1.1833113e-06 1.199268e-06 
-4.8 -4.7 3.4469342e-06 3.4293267e-06 3.4631899e-06 
-4.7 -4.6 1.0740658e-05 1.0676034e-05 1.0748901e-05 
-4.6 -4.5 2.626426e-05 2.6214519e-05 2.6324324e-05 
-4.5 -4.4 5.4616619e-05 5.4562489e-05 5.4876992e-05 
-4.4 -4.3 0.00012172227 0.00012087419 0.00012189085 
-4.3 -4.2 0.00022218566 0.00022109499 0.00022274453 
-4.2 -4.1 0.00038665757 0.00038620243 0.00038713074 
-4.1 -4.0 0.00066100882 0.00066093979 0.00066224689 
-4.0 -3.9 0.0010702286 0.0010682043 0.0010717202 
-3.9 -3.8 0.0016289254 0.0016282717 0.0016337026 
-3.8 -3.7 0.0023772811 0.0023739642 0.002379541 
-3.7 -3.6 0.0033511323 0.0033438517 0.0033558905 
-3.6 -3.5 0.0047064955 0.0047047651 0.004716775 
-3.5 -3.4 0.0063809225 0.006373372 0.0063938118 
-3.4 -3.3 0.0083143204 0.0083028534 0.0083280094 
-3.3 -3.2 0.010738408 0.010729007 0.010758773 
-3.2 -3.1 0.01347396 0.013463283 0.01349651 
-3.1 -3.0 0.016676937 0.016657252 0.016711676 
-3.0 -2.9 0.02034983 0.020337014 0.02038942 
-2.9 -2.8 0.024160622 0.024141811 0.024199341 
-2.8 -2.7 0.028632267 0.028616144 0.028679251 
-2.7 -2.6 0.033316193 0.033298763 0.033376063 
-2.6 -2.5 0.038312578 0.03829691 0.038378024 
-2.5 -2.4 0.043660777 0.043618151 0.043731251 
-2.4 -2.3 0.048905709 0.048888219 0.048975621 
-2.3 -2.2 0.054864591 0.054835505 0.054947674 
-2.2 -2.1 0.06066723 0.060641039 0.060758281 
