# create_lambda_band.py -l 1.25 -e 14 -lo
# LO cross-section {center, min, max}
0.0017128057 0.0015837736 0.0018643829 


# LO ptHH {ptmin, ptmax, center, min, max}
-2.2 -2.1 6.2166268e-05 5.7433708e-05 6.7535322e-05 
-2.1 -2.0 8.0279977e-05 7.4017454e-05 8.7354779e-05 
-2.0 -1.9 0.00010113377 9.3601517e-05 0.00011038848 
-1.9 -1.8 0.00012631786 0.00011671146 0.00013715093 
-1.8 -1.7 0.00015357584 0.0001421739 0.0001672784 
-1.7 -1.6 0.00018360552 0.00016998954 0.00019945819 
-1.6 -1.5 0.00021774838 0.00020154029 0.00023659638 
-1.5 -1.4 0.00025272385 0.00023369484 0.00027463515 
-1.4 -1.3 0.00029104234 0.00026926635 0.00031623786 
-1.3 -1.2 0.00032927866 0.00030497933 0.00035744573 
-1.2 -1.1 0.00036941777 0.00034200279 0.00040195929 
-1.1 -1.0 0.00040891349 0.00037840196 0.00044463649 
-1.0 -0.9 0.00044850276 0.0004151614 0.00048773472 
-0.9 -0.8 0.00048710893 0.00045015418 0.00053008675 
-0.8 -0.7 0.00052187074 0.00048340004 0.0005685174 
-0.7 -0.6 0.00055766213 0.00051481665 0.000607124 
-0.6 -0.5 0.00058723325 0.00054316283 0.00063942883 
-0.5 -0.4 0.000613311 0.00056745779 0.00066761987 
-0.4 -0.3 0.00063607407 0.0005876804 0.00069346265 
-0.3 -0.2 0.00065387045 0.00060405687 0.00071161116 
-0.2 -0.1 0.0006636589 0.00061300026 0.00072320764 
-0.1 0.0 0.00066632103 0.00061602286 0.0007260356 
0.0 0.1 0.00066866865 0.00061825613 0.00072862087 
0.1 0.2 0.00066369778 0.00061286847 0.00072284607 
0.2 0.3 0.0006528616 0.00060379088 0.00071183006 
0.3 0.4 0.00063509919 0.00058724999 0.00069102706 
0.4 0.5 0.00061316149 0.0005663008 0.00066773231 
0.5 0.6 0.00058782715 0.00054359889 0.00064028532 
0.6 0.7 0.00055652518 0.00051457194 0.00060583467 
0.7 0.8 0.00052365417 0.00048449521 0.00056921041 
0.8 0.9 0.0004860929 0.00044956886 0.0005298621 
0.9 1.0 0.00044860047 0.00041522812 0.00048751778 
1.0 1.1 0.0004098926 0.00037932078 0.00044584835 
1.1 1.2 0.00037056585 0.00034252676 0.00040300025 
1.2 1.3 0.00032995702 0.00030557686 0.00035825905 
1.3 1.4 0.00029024794 0.00026885246 0.00031578728 
1.4 1.5 0.00025324015 0.00023420191 0.00027536633 
1.5 1.6 0.00021662362 0.00020062828 0.00023519404 
1.6 1.7 0.00018497132 0.00017085406 0.00020127358 
1.7 1.8 0.00015335169 0.00014204061 0.00016666495 
1.8 1.9 0.00012549288 0.00011612226 0.00013653897 
1.9 2.0 0.0001019331 9.4235173e-05 0.00011070019 
2.0 2.1 7.9948097e-05 7.3868089e-05 8.7150603e-05 
2.1 2.2 6.1883422e-05 5.7043348e-05 6.7257928e-05 
2.2 2.3 4.6789317e-05 4.3286491e-05 5.1306688e-05 
2.3 2.4 3.4490775e-05 3.1679763e-05 3.7458521e-05 
2.4 2.5 2.4640372e-05 2.2747147e-05 2.6979093e-05 
2.5 2.6 1.6999458e-05 1.5546029e-05 1.8665284e-05 
2.6 2.7 1.1309315e-05 1.0458183e-05 1.2383705e-05 
2.7 2.8 7.3240059e-06 6.6667116e-06 8.0617223e-06 
2.8 2.9 4.4815045e-06 4.0746566e-06 4.9209967e-06 
