# create_lambda_band.py -l 10 -e 100 -nlo
# NLO cross-section {center, min, max}
2.7064442 2.6716447 2.7491411 


# NLO ptHH {ptmin, ptmax, center, min, max}
0.0 30.0 0.0058024338 0.0056607766 0.0059352214 
30.0 60.0 0.014064921 0.013781317 0.014355411 
60.0 90.0 0.016121192 0.015862847 0.016414017 
90.0 120.0 0.014127738 0.01394633 0.01435645 
120.0 150.0 0.010915623 0.010792652 0.011075799 
150.0 180.0 0.0079582191 0.0078772604 0.0080628309 
180.0 210.0 0.0056607413 0.0056107052 0.005729685 
210.0 240.0 0.0040164555 0.0039826413 0.0040617702 
240.0 270.0 0.0028616689 0.002838827 0.0028906325 
270.0 300.0 0.0020622034 0.0020477397 0.002082977 


# NLO yHH {ptmin, ptmax, center, min, max}
-5.0 -4.9 0.0026147077 0.0025385759 0.0026602052 
-4.9 -4.8 0.0042640231 0.0041489213 0.004366245 
-4.8 -4.7 0.0067837876 0.0066034482 0.0069716047 
-4.7 -4.6 0.01005041 0.0097642257 0.010226852 
-4.6 -4.5 0.014057997 0.013645685 0.014436782 
-4.5 -4.4 0.019397301 0.018876102 0.019840642 
-4.4 -4.3 0.026075249 0.025355416 0.026639746 
-4.3 -4.2 0.033575161 0.032524992 0.034304682 
-4.2 -4.1 0.042163338 0.04104166 0.043087719 
-4.1 -4.0 0.052031276 0.050690989 0.053156153 
-4.0 -3.9 0.062970574 0.06147068 0.064234318 
-3.9 -3.8 0.075337414 0.073385251 0.076769946 
-3.8 -3.7 0.088653463 0.086551401 0.090279463 
-3.7 -3.6 0.10191689 0.099549407 0.10382375 
-3.6 -3.5 0.11677144 0.1140956 0.11903274 
-3.5 -3.4 0.13168664 0.1287122 0.13400184 
-3.4 -3.3 0.14827499 0.14523432 0.15106733 
-3.3 -3.2 0.16489897 0.16133383 0.16784483 
-3.2 -3.1 0.18105008 0.17725077 0.18442193 
-3.1 -3.0 0.1966542 0.19323012 0.20036824 
-3.0 -2.9 0.21447507 0.21024624 0.21816017 
-2.9 -2.8 0.23119332 0.22693239 0.23523898 
-2.8 -2.7 0.24775408 0.24357974 0.25196275 
-2.7 -2.6 0.2651059 0.26027356 0.27022239 
-2.6 -2.5 0.2807527 0.27593167 0.28534619 
-2.5 -2.4 0.29690108 0.29197531 0.30218592 
-2.4 -2.3 0.31196605 0.30730082 0.31729354 
-2.3 -2.2 0.32900681 0.32407297 0.33440209 
-2.2 -2.1 0.3422619 0.33749182 0.34799963 
-2.1 -2.0 0.35704447 0.3518961 0.36286456 
-2.0 -1.9 0.37084807 0.36580066 0.37660025 
-1.9 -1.8 0.38324559 0.3784556 0.38977723 
