# create_lambda_band.py -l -4.0 -nnlo
# NNLO cross-section {center, min, max}
0.16416245 0.16371695 0.16470459 


# NNLO ptHH {ptmin, ptmax, center, min, max}
4.3 4.4 3.9193914e-07 3.8741215e-07 3.9607448e-07 
4.4 4.5 4.1185308e-08 3.6207597e-08 4.2702918e-08 
4.5 4.6 1.1894893e-09 1.1395767e-09 1.2534594e-09 
4.6 4.7 4.5514814e-12 2.0929073e-12 4.5514814e-12 
4.7 4.8 0.0 0.0 0.0 
4.8 4.9 0.0 0.0 0.0 
4.9 5.0 0.0 0.0 0.0 


# NNLO mHH {ptmin, ptmax, center, min, max}
0.0 200.0 0.0 0.0 0.0 
200.0 400.0 0.00056271674 0.00056117103 0.0005648423 
400.0 600.0 0.00018422953 0.00018373948 0.00018473752 
600.0 800.0 4.4549955e-05 4.4432146e-05 4.4624698e-05 
800.0 1000.0 1.5254896e-05 1.5219378e-05 1.5272671e-05 
1000.0 1200.0 6.4296072e-06 6.4092812e-06 6.4345558e-06 
1200.0 1400.0 3.1297528e-06 3.1225531e-06 3.13159e-06 
1400.0 1600.0 1.6952367e-06 1.6877706e-06 1.6965342e-06 
1600.0 1800.0 9.5443002e-07 9.5443002e-07 9.5820062e-07 
1800.0 2000.0 5.9468566e-07 5.9258805e-07 5.9741537e-07 


# NNLO phiHH {ptmin, ptmax, center, min, max}
0.0 0.31415927 0.02545661 0.025397436 0.025527044 
0.31415927 0.62831853 0.025653986 0.025603435 0.025723957 
0.62831853 0.9424778 0.026549462 0.026485773 0.026624285 
0.9424778 1.2566371 0.028709967 0.028638221 0.028796325 
1.2566371 1.5707963 0.032562286 0.032486809 0.03266066 
1.5707963 1.8849556 0.039009178 0.038909346 0.039130385 
1.8849556 2.1991149 0.049572167 0.049445845 0.049730523 
2.1991149 2.5132741 0.066832608 0.066656294 0.06705809 
2.5132741 2.8274334 0.094925337 0.094652109 0.095258852 
2.8274334 3.1415927 0.13327371 0.13285198 0.13376087 


# NNLO ptH_h {ptmin, ptmax, center, min, max}
0.0 30.0 5.0186139e-05 4.9999525e-05 5.046796e-05 
30.0 60.0 0.00045665429 0.00045509109 0.00045893586 
60.0 90.0 0.00093556108 0.00093276809 0.00093956487 
90.0 120.0 0.0010563915 0.0010533844 0.0010603286 
120.0 150.0 0.00090002605 0.00089766255 0.00090291558 
150.0 180.0 0.00066670635 0.00066502616 0.00066861982 
180.0 210.0 0.00046055557 0.00045943247 0.00046168427 
210.0 240.0 0.00030788244 0.00030715098 0.00030856653 
240.0 270.0 0.00020367636 0.00020319651 0.00020407174 
270.0 300.0 0.00013472433 0.00013442286 0.00013498379 


# NNLO yH_h {ptmin, ptmax, center, min, max}
-5.0 -4.9 1.3547778e-07 1.3484848e-07 1.45378e-07 
-4.9 -4.8 5.163061e-07 5.163061e-07 5.7789754e-07 
-4.8 -4.7 1.9124721e-06 1.8380647e-06 1.9285091e-06 
-4.7 -4.6 4.8003654e-06 4.7658605e-06 4.8650146e-06 
-4.6 -4.5 1.3510102e-05 1.0675264e-05 1.35245e-05 
-4.5 -4.4 2.4319362e-05 2.4148799e-05 2.6733492e-05 
-4.4 -4.3 4.6486159e-05 4.6416389e-05 4.6868879e-05 
-4.3 -4.2 8.3709558e-05 8.2723848e-05 8.4136322e-05 
-4.2 -4.1 0.00014809601 0.00014792896 0.00014843759 
-4.1 -4.0 0.00023667751 0.00023573577 0.00023802586 
-4.0 -3.9 0.00036415706 0.00036081744 0.00036415706 
-3.9 -3.8 0.00054715728 0.00054537714 0.00055160159 
-3.8 -3.7 0.00078479718 0.00078346599 0.00078722793 
-3.7 -3.6 0.0011064072 0.00110327 0.0011080413 
-3.6 -3.5 0.0015053151 0.0015007379 0.0015108041 
-3.5 -3.4 0.0020057794 0.0020014633 0.0020127948 
-3.4 -3.3 0.0025956676 0.0025872181 0.0026061191 
-3.3 -3.2 0.0033080429 0.0033000139 0.0033180274 
-3.2 -3.1 0.0041489703 0.0041327959 0.0041690503 
-3.1 -3.0 0.0050525768 0.0050322816 0.0050690897 
-3.0 -2.9 0.0061200496 0.0061078821 0.006141415 
-2.9 -2.8 0.0072663102 0.0072361925 0.0072981813 
-2.8 -2.7 0.0085212798 0.0084950372 0.0085488328 
-2.7 -2.6 0.0098329207 0.0098001275 0.0098779174 
-2.6 -2.5 0.011354108 0.011315452 0.011398931 
-2.5 -2.4 0.012790948 0.012747463 0.012841788 
-2.4 -2.3 0.014354674 0.01431711 0.014411849 
-2.3 -2.2 0.016000128 0.015947426 0.016063203 
-2.2 -2.1 0.017702725 0.017646421 0.0177702 
-2.1 -2.0 0.019348172 0.019292637 0.019432979 
-2.0 -1.9 0.021055029 0.020995276 0.021118188 
-1.9 -1.8 0.022729055 0.02265525 0.022810973 
-1.8 -1.7 0.02443712 0.024367837 0.024538568 
-1.7 -1.6 0.026070419 0.025995101 0.02616209 
-1.6 -1.5 0.027711443 0.027623518 0.02780363 
-1.5 -1.4 0.029223783 0.029147449 0.029326968 
-1.4 -1.3 0.030693023 0.030611349 0.030805601 
-1.3 -1.2 0.03212636 0.032041861 0.032229264 
-1.2 -1.1 0.033579378 0.033486027 0.033695264 
-1.1 -1.0 0.034700363 0.034603177 0.03481328 
-1.0 -0.9 0.03589996 0.035819011 0.036013138 
-0.9 -0.8 0.036974317 0.036872194 0.037077334 
-0.8 -0.7 0.037857267 0.037758002 0.037978564 
-0.7 -0.6 0.038723296 0.038632431 0.038831518 
-0.6 -0.5 0.039449012 0.039348999 0.03956681 
-0.5 -0.4 0.04007031 0.039960529 0.040202247 
-0.4 -0.3 0.040528383 0.040435588 0.040648576 
-0.3 -0.2 0.041070589 0.040965797 0.041190694 
-0.2 -0.1 0.041177128 0.041084582 0.041296215 
-0.1 0.0 0.041337589 0.041236515 0.041455384 
0.0 0.1 0.041350327 0.041247111 0.041472699 
0.1 0.2 0.041260508 0.041156921 0.041380535 
0.2 0.3 0.040908826 0.040807414 0.041029963 
0.3 0.4 0.040668803 0.040568386 0.040781739 
0.4 0.5 0.040105792 0.040006189 0.040230655 
0.5 0.6 0.039560303 0.039456803 0.039680487 
0.6 0.7 0.038785578 0.038691684 0.038901078 
0.7 0.8 0.03789495 0.037803879 0.038016425 
0.8 0.9 0.036924497 0.036828867 0.037028713 
0.9 1.0 0.035910657 0.035811073 0.036027778 
1.0 1.1 0.034709765 0.034621075 0.034822858 
1.1 1.2 0.03346525 0.033376983 0.033569779 
1.2 1.3 0.032134977 0.03204684 0.032245425 
1.3 1.4 0.030707834 0.030621858 0.030818345 
1.4 1.5 0.02923305 0.029151677 0.029328477 
1.5 1.6 0.027717111 0.027646302 0.027815637 
1.6 1.7 0.026110206 0.026033133 0.0262055 
1.7 1.8 0.024478328 0.024404355 0.024555149 
1.8 1.9 0.022778576 0.022705953 0.022872187 
1.9 2.0 0.021052258 0.020997243 0.021134843 
2.0 2.1 0.019392342 0.01933117 0.019453953 
2.1 2.2 0.017650704 0.017595966 0.017728024 
2.2 2.3 0.01601283 0.015957836 0.016070973 
2.3 2.4 0.014351528 0.014311035 0.014415692 
2.4 2.5 0.012766838 0.012723894 0.012812342 
2.5 2.6 0.011295909 0.011258256 0.011344385 
2.6 2.7 0.0098474118 0.0098172106 0.0098920241 
2.7 2.8 0.0085322321 0.0084952165 0.00856552 
2.8 2.9 0.0072671966 0.0072529967 0.0072937033 
2.9 3.0 0.0060695473 0.0060483881 0.0060945104 
3.0 3.1 0.0050616658 0.0050447701 0.0050798566 
3.1 3.2 0.0041285177 0.0041165998 0.0041430694 
3.2 3.3 0.003318838 0.0033066697 0.0033289216 
3.3 3.4 0.002613118 0.0026046608 0.0026227644 
3.4 3.5 0.0020152855 0.0020090241 0.0020224454 
3.5 3.6 0.0015103837 0.0015072575 0.0015150615 
3.6 3.7 0.001107028 0.0011029909 0.0011099473 
3.7 3.8 0.00078216903 0.00078039384 0.00078476155 
3.8 3.9 0.00054196244 0.00054117586 0.00054430576 
3.9 4.0 0.00036627748 0.0003646616 0.00036723305 
4.0 4.1 0.00023478159 0.00023381578 0.00023529481 
4.1 4.2 0.00014429837 0.00014420083 0.00014467655 
4.2 4.3 8.3216231e-05 8.2461867e-05 8.3668744e-05 
4.3 4.4 4.6184148e-05 4.6021347e-05 4.6269842e-05 
4.4 4.5 2.4007161e-05 2.3787994e-05 2.408222e-05 
4.5 4.6 1.1269853e-05 1.0962097e-05 1.1464348e-05 
4.6 4.7 4.8415382e-06 4.8303526e-06 4.8878466e-06 
4.7 4.8 1.6385795e-06 1.6179468e-06 1.6817203e-06 
4.8 4.9 5.439586e-07 5.0191971e-07 5.439586e-07 
4.9 5.0 1.3475546e-07 1.3256152e-07 1.378779e-07 


# NNLO ptH_s {ptmin, ptmax, center, min, max}
0.0 30.0 0.000731584 0.00072946203 0.0007346017 
30.0 60.0 0.0014484414 0.0014444083 0.0014539399 
60.0 90.0 0.0012428476 0.0012394603 0.0012470547 
90.0 120.0 0.00081306437 0.00081095586 0.00081555698 
120.0 150.0 0.00048424923 0.00048298564 0.00048557012 
150.0 180.0 0.00028357931 0.0002828545 0.00028430182 
180.0 210.0 0.00016733298 0.00016689211 0.00016769572 
210.0 240.0 0.00010206197 0.00010179913 0.00010228518 
240.0 270.0 6.3652934e-05 6.3485791e-05 6.3756674e-05 
270.0 300.0 4.0929789e-05 4.0827057e-05 4.0997649e-05 


# NNLO yH_s {ptmin, ptmax, center, min, max}
-5.0 -4.9 5.0852713e-07 4.8986038e-07 5.1372013e-07 
-4.9 -4.8 1.6403257e-06 1.635758e-06 1.7084786e-06 
-4.8 -4.7 5.2709832e-06 5.1677615e-06 5.3284522e-06 
-4.7 -4.6 1.0820551e-05 1.0708523e-05 1.0890908e-05 
-4.6 -4.5 2.6593719e-05 2.6118655e-05 2.6943446e-05 
-4.5 -4.4 5.7210859e-05 5.0433036e-05 5.762986e-05 
-4.4 -4.3 9.4433977e-05 9.3587222e-05 0.00010021189 
-4.3 -4.2 0.00015132906 0.00015120762 0.0001524865 
-4.2 -4.1 0.00024726336 0.0002448366 0.00024837135 
-4.1 -4.0 0.00038840768 0.00038822453 0.0003911256 
-4.0 -3.9 0.0005730528 0.0005730528 0.00057493633 
-3.9 -3.8 0.0008257613 0.00082188654 0.00082808904 
-3.8 -3.7 0.0011450828 0.0011391104 0.0011478695 
-3.7 -3.6 0.001533247 0.0015298332 0.0015372951 
-3.6 -3.5 0.0020094621 0.0020003251 0.0020141554 
-3.5 -3.4 0.0025692011 0.0025612257 0.0025801051 
-3.4 -3.3 0.0032166704 0.0032110219 0.0032238489 
-3.3 -3.2 0.0040116761 0.0039912658 0.0040250292 
-3.2 -3.1 0.0048777241 0.0048706982 0.0048889605 
-3.1 -3.0 0.0058058278 0.0057763572 0.0058245481 
-3.0 -2.9 0.0068927428 0.0068810215 0.0069157596 
-2.9 -2.8 0.0080320591 0.0080021569 0.008068594 
