# create_lambda_band.py -l 1.25 -e 100 -nlo
# NLO cross-section {center, min, max}
0.073829793 0.073188578 0.074573421 


# NLO ptHH {ptmin, ptmax, center, min, max}
0.0 30.0 0.00017870746 0.00017627081 0.00018137986 
30.0 60.0 0.00042157499 0.00041670794 0.00042730407 
60.0 90.0 0.00046341998 0.00045897852 0.00046884365 
90.0 120.0 0.00038809975 0.00038481718 0.00039199819 
120.0 150.0 0.00028787665 0.00028572107 0.00029042178 
150.0 180.0 0.0002021334 0.00020071926 0.00020368578 
180.0 210.0 0.00013917696 0.00013836714 0.00014017425 
210.0 240.0 9.7069425e-05 9.6491096e-05 9.7686571e-05 
240.0 270.0 6.8329588e-05 6.7955213e-05 6.8723166e-05 
270.0 300.0 4.8926243e-05 4.8623139e-05 4.915964e-05 


# NLO yHH {ptmin, ptmax, center, min, max}
-5.0 -4.9 1.2269727e-05 1.1692868e-05 1.2513632e-05 
-4.9 -4.8 2.2838387e-05 2.2397358e-05 2.3908136e-05 
-4.8 -4.7 4.0875503e-05 3.9900375e-05 4.175708e-05 
-4.7 -4.6 6.3061065e-05 6.1432125e-05 6.4327689e-05 
-4.6 -4.5 0.00010145393 9.9458243e-05 0.00010437317 
-4.5 -4.4 0.00015005125 0.00014468706 0.00015304378 
-4.4 -4.3 0.00021446183 0.0002088865 0.00021807056 
-4.3 -4.2 0.00028791954 0.00028226411 0.00029342908 
-4.2 -4.1 0.00039157064 0.00038156615 0.00040051669 
-4.1 -4.0 0.00053551809 0.00052453556 0.00054427207 
-4.0 -3.9 0.00069394509 0.00068045284 0.00070994475 
-3.9 -3.8 0.00086136642 0.00083934547 0.0008692596 
-3.8 -3.7 0.0010604781 0.0010398405 0.0010857746 
-3.7 -3.6 0.0013377715 0.0013135699 0.0013571193 
-3.6 -3.5 0.0016137841 0.0015851965 0.0016405298 
-3.5 -3.4 0.001938543 0.0019001876 0.0019642627 
-3.4 -3.3 0.0022694592 0.0022349434 0.002318633 
-3.3 -3.2 0.0027046736 0.0026527853 0.0027385247 
-3.2 -3.1 0.0031084941 0.0030600807 0.0031494668 
-3.1 -3.0 0.0035271185 0.0034803286 0.0035777067 
-3.0 -2.9 0.0040397073 0.0039831426 0.0040868582 
-2.9 -2.8 0.0045277377 0.0044621732 0.0045872837 
-2.8 -2.7 0.0050565434 0.0049917041 0.0051188917 
