# create_lambda_band.py -l 0.5 -e 14 -n3lo
# N3LO cross-section {center, min, max}
0.0033121265 0.0033109362 0.0033140403 


# N3LO ptHH {ptmin, ptmax, center, min, max}
3.4 3.5 2.2115018e-07 2.1639395e-07 2.2271146e-07 
3.5 3.6 6.988648e-08 6.9294407e-08 7.0241222e-08 
3.6 3.7 1.6174332e-08 1.5454027e-08 1.638308e-08 
3.7 3.8 2.6963866e-09 2.2533187e-09 2.7204555e-09 
3.8 3.9 1.0841921e-10 1.0772068e-10 1.1683762e-10 
3.9 4.0 2.7438177e-12 1.0293436e-12 3.0621935e-12 
4.0 4.1 0.0 0.0 0.0 
4.1 4.2 0.0 0.0 0.0 
4.2 4.3 0.0 0.0 0.0 
4.3 4.4 0.0 0.0 0.0 
4.4 4.5 0.0 0.0 0.0 
4.5 4.6 0.0 0.0 0.0 
4.6 4.7 0.0 0.0 0.0 
4.7 4.8 0.0 0.0 0.0 
4.8 4.9 0.0 0.0 0.0 
4.9 5.0 0.0 0.0 0.0 


# N3LO mHH {ptmin, ptmax, center, min, max}
0.0 200.0 0.0 0.0 0.0 
200.0 400.0 7.2285418e-06 7.2257629e-06 7.2349931e-06 
400.0 600.0 5.3484936e-06 5.3467995e-06 5.3514567e-06 
600.0 800.0 2.1090564e-06 2.1083142e-06 2.109651e-06 
800.0 1000.0 9.1969607e-07 9.1936165e-07 9.1981054e-07 
1000.0 1200.0 4.3711131e-07 4.3696108e-07 4.3724841e-07 
1200.0 1400.0 2.2475274e-07 2.2462395e-07 2.2478836e-07 
1400.0 1600.0 1.2192948e-07 1.2184843e-07 1.2195597e-07 
1600.0 1800.0 6.854127e-08 6.841013e-08 6.854127e-08 
1800.0 2000.0 3.9298514e-08 3.9246018e-08 3.9383662e-08 


# N3LO phiHH {ptmin, ptmax, center, min, max}
0.0 0.31415927 0.00039622425 0.00039612395 0.0003964546 
0.31415927 0.62831853 0.00041377946 0.00041369418 0.00041402353 
0.62831853 0.9424778 0.00045461163 0.00045453786 0.00045490729 
