# create_lambda_band.py -l 6 -e 14 -nnlo
# NNLO cross-section {center, min, max}
0.029161722 0.029087949 0.029209018 


# NNLO ptHH {ptmin, ptmax, center, min, max}
3.8 3.9 3.6657472e-09 3.4957665e-09 3.9879893e-09 
3.9 4.0 3.5901403e-11 3.0191004e-11 3.5901403e-11 
4.0 4.1 0.0 0.0 2.1751495e-23 
4.1 4.2 0.0 0.0 0.0 
4.2 4.3 0.0 0.0 0.0 
4.3 4.4 0.0 0.0 0.0 
4.4 4.5 0.0 0.0 0.0 
4.5 4.6 0.0 0.0 0.0 
4.6 4.7 0.0 0.0 0.0 
4.7 4.8 0.0 0.0 0.0 
4.8 4.9 0.0 0.0 0.0 
4.9 5.0 0.0 0.0 0.0 


# NNLO mHH {ptmin, ptmax, center, min, max}
0.0 200.0 0.0 0.0 0.0 
200.0 400.0 0.00011909817 0.00011879571 0.00011932702 
400.0 600.0 2.1286198e-05 2.1233277e-05 2.1309076e-05 
600.0 800.0 3.4762515e-06 3.4677285e-06 3.4785305e-06 
800.0 1000.0 1.0423944e-06 1.0399983e-06 1.0431888e-06 
1000.0 1200.0 4.3148218e-07 4.304362e-07 4.3193489e-07 
1200.0 1400.0 2.1176006e-07 2.1062696e-07 2.1184103e-07 
1400.0 1600.0 1.0775626e-07 1.0718608e-07 1.0814604e-07 
1600.0 1800.0 6.171284e-08 6.0885604e-08 6.171284e-08 
1800.0 2000.0 3.482751e-08 3.4492823e-08 3.4938041e-08 


# NNLO phiHH {ptmin, ptmax, center, min, max}
0.0 0.31415927 0.0056896763 0.0056781734 0.0056968795 
0.31415927 0.62831853 0.0055859315 0.0055735776 0.0055928392 
0.62831853 0.9424778 0.0055574258 0.0055454636 0.0055654465 
0.9424778 1.2566371 0.0057288702 0.0057172779 0.005737857 
1.2566371 1.5707963 0.0061899972 0.006175331 0.0061991553 
1.5707963 1.8849556 0.007078421 0.0070624152 0.0070898087 
1.8849556 2.1991149 0.0086255738 0.0086047647 0.0086400011 
2.1991149 2.5132741 0.011220569 0.01119166 0.01124 
2.5132741 2.8274334 0.01556671 0.015524418 0.015594489 
2.8274334 3.1415927 0.021581467 0.021516732 0.021618717 


# NNLO ptH_h {ptmin, ptmax, center, min, max}
0.0 30.0 9.5771763e-06 9.5429974e-06 9.6095243e-06 
30.0 60.0 8.6643096e-05 8.6376296e-05 8.6902045e-05 
60.0 90.0 0.00017575779 0.00017526582 0.00017618067 
90.0 120.0 0.00019510858 0.00019461242 0.00019550623 
120.0 150.0 0.0001622115 0.00016180597 0.00016245658 
150.0 180.0 0.00011696183 0.00011669012 0.00011709985 
180.0 210.0 7.8419453e-05 7.824061e-05 7.8498586e-05 
210.0 240.0 5.0958406e-05 5.0854306e-05 5.1009154e-05 
240.0 270.0 3.2761817e-05 3.2686968e-05 3.2787782e-05 
270.0 300.0 2.1091145e-05 2.1050402e-05 2.1105225e-05 


# NNLO yH_h {ptmin, ptmax, center, min, max}
-5.0 -4.9 0.0 0.0 0.0 
-4.9 -4.8 0.0 0.0 0.0 
-4.8 -4.7 0.0 0.0 0.0 
-4.7 -4.6 2.630759e-12 8.8477554e-13 2.6852683e-12 
-4.6 -4.5 1.2312716e-10 1.1312367e-10 1.4852382e-10 
-4.5 -4.4 2.1981466e-09 2.1564238e-09 2.2566976e-09 
-4.4 -4.3 7.0879949e-09 4.4843453e-09 7.3293667e-09 
-4.3 -4.2 6.0728645e-08 5.8491623e-08 6.1188283e-08 
-4.2 -4.1 8.9069446e-08 8.7660065e-08 9.3562627e-08 
-4.1 -4.0 3.4599435e-07 3.3605055e-07 3.5651043e-07 
-4.0 -3.9 1.0102694e-06 9.5967405e-07 1.0121151e-06 
-3.9 -3.8 2.5330653e-06 2.5330653e-06 2.5741207e-06 
