# create_lambda_band.py -l 1.5 -lo
# LO cross-section {center, min, max}
0.006647367 0.0063256085 0.0070008138 


# LO ptHH {ptmin, ptmax, center, min, max}
3.4 3.5 1.0619872e-05 1.003042e-05 1.1237985e-05 
3.5 3.6 6.4526399e-06 6.1793117e-06 6.8014523e-06 
3.6 3.7 3.5421831e-06 3.2024534e-06 3.8293582e-06 
3.7 3.8 1.8162695e-06 1.7263411e-06 2.0098784e-06 
3.8 3.9 8.6430274e-07 8.1216092e-07 9.6183045e-07 
3.9 4.0 4.0859699e-07 3.7024602e-07 4.2245131e-07 
4.0 4.1 1.7844718e-07 1.5271928e-07 1.7844718e-07 
4.1 4.2 5.56878e-08 4.9007949e-08 5.56878e-08 
4.2 4.3 1.2129005e-08 1.1835192e-08 1.6360723e-08 
4.3 4.4 2.4817314e-09 2.1899379e-09 2.8109678e-09 
4.4 4.5 2.524123e-10 2.524123e-10 3.0696736e-10 
4.5 4.6 2.12495e-11 7.4231975e-12 2.12495e-11 
4.6 4.7 2.5023358e-15 2.5023358e-15 1.3365521e-14 
4.7 4.8 0.0 0.0 0.0 
4.8 4.9 0.0 0.0 0.0 
4.9 5.0 0.0 0.0 0.0 


# LO mHH {ptmin, ptmax, center, min, max}
0.0 200.0 0.0 0.0 0.0 
200.0 400.0 7.375449e-06 7.2290266e-06 7.5003943e-06 
400.0 600.0 9.91416e-06 9.5591017e-06 1.0271549e-05 
600.0 800.0 6.3465319e-06 6.0170608e-06 6.7105586e-06 
800.0 1000.0 3.6334157e-06 3.395144e-06 3.9018568e-06 
1000.0 1200.0 2.1136505e-06 1.9553381e-06 2.2992871e-06 
1200.0 1400.0 1.2832486e-06 1.1743873e-06 1.4143143e-06 
1400.0 1600.0 8.0688575e-07 7.3334098e-07 8.9645996e-07 
1600.0 1800.0 5.2458341e-07 4.7170417e-07 5.8680306e-07 
1800.0 2000.0 3.5168363e-07 3.160136e-07 3.9746377e-07 


# LO phiHH {ptmin, ptmax, center, min, max}
0.0 0.31415927 0.0011790958 0.0011246354 0.0012395971 
0.31415927 0.62831853 0.0011632095 0.0011088761 0.0012217037 
0.62831853 0.9424778 0.0011785403 0.001124557 0.0012384392 
0.9424778 1.2566371 0.0012584272 0.0011997842 0.0013232562 
1.2566371 1.5707963 0.0014130452 0.001347161 0.0014853835 
1.5707963 1.8849556 0.0016791342 0.0015989173 0.0017663266 
1.8849556 2.1991149 0.0020954826 0.0019965629 0.0022044241 
2.1991149 2.5132741 0.0027318608 0.0026001776 0.002876981 
2.5132741 2.8274334 0.0036509243 0.003471928 0.0038461884 
2.8274334 3.1415927 0.0048095062 0.0045624375 0.0050819825 


# LO ptH_h {ptmin, ptmax, center, min, max}
0.0 30.0 2.3747594e-06 2.3077145e-06 2.43932e-06 
30.0 60.0 2.0405053e-05 1.9709517e-05 2.1116546e-05 
60.0 90.0 3.9419893e-05 3.7862262e-05 4.1052443e-05 
90.0 120.0 4.226387e-05 4.0399425e-05 4.4266715e-05 
120.0 150.0 3.4700736e-05 3.3012509e-05 3.6533137e-05 
150.0 180.0 2.5158305e-05 2.3853282e-05 2.6622634e-05 
180.0 210.0 1.7243176e-05 1.6305495e-05 1.8316044e-05 
210.0 240.0 1.159954e-05 1.0920539e-05 1.2374322e-05 
240.0 270.0 7.8318515e-06 7.3434322e-06 8.367743e-06 
270.0 300.0 5.3290715e-06 4.9987503e-06 5.7234813e-06 


# LO yH_h {ptmin, ptmax, center, min, max}
-5.0 -4.9 6.118167e-08 5.8799634e-08 8.4435383e-08 
-4.9 -4.8 1.7874394e-07 1.6397798e-07 2.3207402e-07 
-4.8 -4.7 6.3863388e-07 5.0783101e-07 7.1910057e-07 
-4.7 -4.6 1.3801798e-06 1.2846913e-06 1.7316568e-06 
-4.6 -4.5 3.0019378e-06 2.6115421e-06 3.4861525e-06 
-4.5 -4.4 5.7138294e-06 5.1763816e-06 6.3355958e-06 
-4.4 -4.3 9.9567131e-06 8.8579786e-06 1.1101216e-05 
-4.3 -4.2 1.6536714e-05 1.4892705e-05 1.8381492e-05 
-4.2 -4.1 2.5810623e-05 2.3596861e-05 2.8435785e-05 
-4.1 -4.0 3.7483581e-05 3.4585295e-05 4.1514821e-05 
-4.0 -3.9 5.4049741e-05 4.9347635e-05 5.8816399e-05 
-3.9 -3.8 7.3073753e-05 6.7044657e-05 8.0097806e-05 
-3.8 -3.7 9.5997976e-05 8.8606391e-05 0.00010511183 
-3.7 -3.6 0.00012305656 0.00011361349 0.00013399888 
-3.6 -3.5 0.00015407716 0.00014321777 0.00016686762 
-3.5 -3.4 0.00019191245 0.00017866558 0.00020643523 
-3.4 -3.3 0.00022965647 0.0002144418 0.00024764541 
-3.3 -3.2 0.00027306867 0.0002556651 0.00029303452 
-3.2 -3.1 0.00031835077 0.00029763176 0.00034106947 
-3.1 -3.0 0.00036601554 0.00034352067 0.00039008235 
-3.0 -2.9 0.00041612416 0.0003914123 0.00044483796 
-2.9 -2.8 0.00046499568 0.00043796973 0.00049565769 
-2.8 -2.7 0.0005177249 0.000489152 0.00055040263 
-2.7 -2.6 0.00057315336 0.00054009674 0.00060833722 
-2.6 -2.5 0.00062624231 0.00059157735 0.00066510515 
-2.5 -2.4 0.00067882444 0.00064174119 0.00071858353 
-2.4 -2.3 0.00072788897 0.00069021731 0.00077191545 
-2.3 -2.2 0.00078790179 0.00074491098 0.00083294213 
-2.2 -2.1 0.00083192122 0.00079055989 0.00087904798 
-2.1 -2.0 0.00088134932 0.00083793998 0.00093029107 
-2.0 -1.9 0.00092402931 0.00087828576 0.00097399661 
-1.9 -1.8 0.00097208097 0.0009239324 0.0010239669 
-1.8 -1.7 0.0010194218 0.00096992748 0.0010738279 
-1.7 -1.6 0.001060059 0.0010109292 0.0011165309 
-1.6 -1.5 0.0011027621 0.0010479825 0.0011596173 
-1.5 -1.4 0.0011356038 0.0010819408 0.0011951854 
-1.4 -1.3 0.001174482 0.0011210748 0.0012365964 
-1.3 -1.2 0.0012031261 0.0011479831 0.0012594276 
-1.2 -1.1 0.0012335709 0.0011795034 0.0012969284 
-1.1 -1.0 0.0012589416 0.0012039815 0.0013210457 
-1.0 -0.9 0.0012943088 0.0012316284 0.0013574435 
-0.9 -0.8 0.0013114422 0.0012542627 0.0013729007 
-0.8 -0.7 0.0013378253 0.0012792241 0.0014052436 
-0.7 -0.6 0.0013484767 0.0012883783 0.0014113298 
-0.6 -0.5 0.0013661334 0.0013055604 0.0014295835 
-0.5 -0.4 0.0013840723 0.0013227701 0.0014477534 
-0.4 -0.3 0.0013968013 0.0013384206 0.0014641542 
-0.3 -0.2 0.0014020102 0.0013387419 0.0014680159 
-0.2 -0.1 0.0014040904 0.0013457898 0.0014694985 
-0.1 0.0 0.001412071 0.0013505419 0.0014800782 
0.0 0.1 0.0014070283 0.0013450223 0.0014734393 
0.1 0.2 0.0014059005 0.0013437798 0.0014690539 
0.2 0.3 0.0013999233 0.0013387594 0.0014638262 
0.3 0.4 0.0013901525 0.0013332682 0.0014575467 
0.4 0.5 0.0013825656 0.0013218777 0.0014476116 
0.5 0.6 0.0013770996 0.0013153162 0.0014425494 
0.6 0.7 0.0013549348 0.001294518 0.0014203999 
0.7 0.8 0.0013341613 0.0012770768 0.0013948608 
0.8 0.9 0.0013103854 0.0012520073 0.0013782313 
0.9 1.0 0.0012891701 0.0012312399 0.0013516997 
1.0 1.1 0.0012652692 0.0012088682 0.0013246663 
1.1 1.2 0.0012386821 0.0011816582 0.0012993499 
1.2 1.3 0.0012080449 0.0011508342 0.0012728756 
1.3 1.4 0.001174582 0.0011198373 0.0012291852 
1.4 1.5 0.0011365805 0.0010867121 0.001196446 
1.5 1.6 0.0010987717 0.0010453217 0.0011572526 
1.6 1.7 0.0010541978 0.0010033697 0.0011105717 
1.7 1.8 0.0010170443 0.00096822772 0.001071296 
1.8 1.9 0.0009745037 0.00092606626 0.0010262573 
1.9 2.0 0.00093370495 0.00088757797 0.00098329846 
2.0 2.1 0.00088582669 0.00083894522 0.00093692211 
2.1 2.2 0.00083545896 0.00079217814 0.00088235655 
2.2 2.3 0.00078236642 0.00074198319 0.00082670536 
2.3 2.4 0.00073162427 0.00069528774 0.00077565968 
2.4 2.5 0.00068107487 0.00064268636 0.00072321469 
2.5 2.6 0.00062775738 0.00059498379 0.00066436336 
2.6 2.7 0.00057471339 0.00054119089 0.00060942927 
2.7 2.8 0.00051906386 0.00049131488 0.00055447394 
2.8 2.9 0.0004666777 0.0004382073 0.00049677186 
2.9 3.0 0.00041310803 0.00038801781 0.00044308282 
3.0 3.1 0.0003647772 0.00034201646 0.00038796477 
3.1 3.2 0.00031816035 0.00029930135 0.00034023989 
3.2 3.3 0.00027257445 0.00025432331 0.00029280427 
3.3 3.4 0.00022970585 0.00021468556 0.00024766947 
3.4 3.5 0.00018915368 0.00017589459 0.00020338651 
3.5 3.6 0.0001559903 0.00014485121 0.00016880779 
3.6 3.7 0.00012412916 0.00011496956 0.00013432238 
3.7 3.8 9.5751005e-05 8.8031388e-05 0.00010537184 
3.8 3.9 7.2506973e-05 6.6801481e-05 7.8812705e-05 
3.9 4.0 5.2915896e-05 4.8218063e-05 5.9041204e-05 
4.0 4.1 3.6772262e-05 3.4223851e-05 4.0627481e-05 
4.1 4.2 2.5804863e-05 2.2705654e-05 2.7889617e-05 
4.2 4.3 1.6370604e-05 1.5212677e-05 1.8261797e-05 
4.3 4.4 1.0071075e-05 9.2811958e-06 1.1511453e-05 
4.4 4.5 5.9497331e-06 4.9585286e-06 6.3387892e-06 
4.5 4.6 2.9397928e-06 2.5609019e-06 3.6399731e-06 
4.6 4.7 1.4200822e-06 1.2716197e-06 1.6463217e-06 
4.7 4.8 5.7083949e-07 4.9772218e-07 6.7005181e-07 
4.8 4.9 1.9584911e-07 1.516008e-07 2.1784367e-07 
4.9 5.0 4.8233786e-08 4.6397945e-08 5.9944866e-08 


# LO ptH_s {ptmin, ptmax, center, min, max}
0.0 30.0 3.2467932e-05 3.1180969e-05 3.3838261e-05 
30.0 60.0 6.2021021e-05 5.9335194e-05 6.4897534e-05 
60.0 90.0 5.0679009e-05 4.8290421e-05 5.3283671e-05 
90.0 120.0 3.1521607e-05 2.9899185e-05 3.3321334e-05 
120.0 150.0 1.782741e-05 1.6844372e-05 1.8925606e-05 
150.0 180.0 9.9925583e-06 9.4148588e-06 1.0659705e-05 
180.0 210.0 5.7482482e-06 5.3939403e-06 6.1529902e-06 
210.0 240.0 3.4269714e-06 3.2043307e-06 3.6704426e-06 
240.0 270.0 2.1320403e-06 1.9882064e-06 2.2970149e-06 
270.0 300.0 1.383801e-06 1.2934482e-06 1.4938119e-06 


# LO yH_s {ptmin, ptmax, center, min, max}
-5.0 -4.9 2.2999146e-07 1.8989583e-07 3.0590537e-07 
-4.9 -4.8 8.1155801e-07 6.4994373e-07 9.1051557e-07 
-4.8 -4.7 2.1839817e-06 1.8515662e-06 2.6852044e-06 
-4.7 -4.6 4.918227e-06 4.2117904e-06 5.8284365e-06 
-4.6 -4.5 9.1025383e-06 7.8648367e-06 1.0656895e-05 
-4.5 -4.4 1.6270357e-05 1.4156247e-05 1.8494805e-05 
-4.4 -4.3 2.6043331e-05 2.3372657e-05 3.0107999e-05 
-4.3 -4.2 4.08648e-05 3.6707476e-05 4.6597385e-05 
-4.2 -4.1 6.1840772e-05 5.5345467e-05 6.8425494e-05 
-4.1 -4.0 8.3969773e-05 7.6352496e-05 9.4314509e-05 
-4.0 -3.9 0.00011323802 0.00010157257 0.00012504558 
-3.9 -3.8 0.00014439394 0.00013310701 0.00016237842 
-3.8 -3.7 0.00018524724 0.0001704016 0.00020306744 
-3.7 -3.6 0.00022854111 0.0002083528 0.00025043251 
-3.6 -3.5 0.00027683287 0.00025484061 0.00030272028 
-3.5 -3.4 0.00032290542 0.00029853882 0.00034950478 
-3.4 -3.3 0.00036937306 0.00034328573 0.00040367492 
-3.3 -3.2 0.00042669757 0.00039602896 0.00046055774 
-3.2 -3.1 0.00047719168 0.00044381351 0.0005157009 
-3.1 -3.0 0.00052983496 0.00049387107 0.00056959752 
-3.0 -2.9 0.00058486588 0.00054868473 0.00063117973 
-2.9 -2.8 0.00063799871 0.00059763692 0.00068367244 
-2.8 -2.7 0.00068305254 0.00064112774 0.00073361805 
-2.7 -2.6 0.00073266513 0.0006897429 0.00078300949 
-2.6 -2.5 0.00078080133 0.0007358879 0.00083133524 
-2.5 -2.4 0.00082108784 0.0007709927 0.0008736507 
-2.4 -2.3 0.00086259185 0.00081469552 0.00091572523 
-2.3 -2.2 0.00089564575 0.0008485364 0.00095173926 
-2.2 -2.1 0.00093380505 0.0008846718 0.00098730795 
-2.1 -2.0 0.00095966077 0.00091114199 0.0010146478 
-2.0 -1.9 0.00098773555 0.00093880175 0.0010413608 
-1.9 -1.8 0.0010109578 0.00096061524 0.0010678198 
-1.8 -1.7 0.0010346343 0.00098434764 0.0010876461 
-1.7 -1.6 0.0010511406 0.0010021364 0.0011046413 
