# create_lambda_band.py -l 0.8
# N3LO cross-section {center, min, max}
0.0098703302 0.0098669748 0.0098793215 


# N3LO ptHH {ptmin, ptmax, center, min, max}
3.5 3.6 1.5133567e-05 1.5075519e-05 1.5134637e-05 
3.6 3.7 8.7467224e-06 8.7122677e-06 8.7512817e-06 
3.7 3.8 4.7272058e-06 4.7272058e-06 4.7583667e-06 
3.8 3.9 2.3825571e-06 2.36935e-06 2.3872632e-06 
3.9 4.0 1.0514671e-06 1.0483207e-06 1.0541751e-06 
4.0 4.1 4.5106902e-07 4.4876099e-07 4.5627652e-07 
4.1 4.2 1.4738396e-07 1.46949e-07 1.4812286e-07 
4.2 4.3 3.8138105e-08 3.7856713e-08 3.9021438e-08 
4.3 4.4 7.4509169e-09 7.1512332e-09 7.6068021e-09 
4.4 4.5 8.7352977e-10 7.7221299e-10 9.1696904e-10 
4.5 4.6 5.0346225e-11 4.7680512e-11 6.0122034e-11 
4.6 4.7 3.9776973e-15 3.9776973e-15 1.5150598e-14 
4.7 4.8 0.0 0.0 0.0 
4.8 4.9 0.0 0.0 0.0 
4.9 5.0 0.0 0.0 0.0 


# N3LO mHH {ptmin, ptmax, center, min, max}
0.0 200.0 0.0 0.0 0.0 
200.0 400.0 1.4723403e-05 1.4717588e-05 1.4742525e-05 
400.0 600.0 1.5841401e-05 1.583603e-05 1.5857287e-05 
600.0 800.0 8.0640857e-06 8.0614532e-06 8.0700105e-06 
800.0 1000.0 4.2139676e-06 4.2126929e-06 4.2165601e-06 
1000.0 1200.0 2.3577927e-06 2.3570221e-06 2.3590185e-06 
1200.0 1400.0 1.3976125e-06 1.3975563e-06 1.3980166e-06 
1400.0 1600.0 8.6487854e-07 8.6441709e-07 8.6540786e-07 
1600.0 1800.0 5.6094642e-07 5.604453e-07 5.6098681e-07 
1800.0 2000.0 3.761315e-07 3.761315e-07 3.7645496e-07 


# N3LO phiHH {ptmin, ptmax, center, min, max}
0.0 0.31415927 0.0012679065 0.0012677109 0.0012690307 
0.31415927 0.62831853 0.0013126659 0.0013122088 0.0013136606 
0.62831853 0.9424778 0.001422271 0.0014219564 0.0014233232 
0.9424778 1.2566371 0.0016187419 0.0016183236 0.001620365 
1.2566371 1.5707963 0.0019316747 0.0019307681 0.001932925 
1.5707963 1.8849556 0.002407544 0.00240714 0.0024097479 
1.8849556 2.1991149 0.0031406158 0.0031398177 0.0031432265 
2.1991149 2.5132741 0.0042603087 0.0042589422 0.0042645415 
2.5132741 2.8274334 0.0059544471 0.0059518141 0.0059596924 
2.8274334 3.1415927 0.0081020606 0.0080982406 0.008110344 


# N3LO ptH_h {ptmin, ptmax, center, min, max}
0.0 30.0 3.5710777e-06 3.5679032e-06 3.5772723e-06 
30.0 60.0 3.0735004e-05 3.07167e-05 3.0775754e-05 
60.0 90.0 5.9499022e-05 5.9472829e-05 5.9564049e-05 
90.0 120.0 6.3817267e-05 6.3792844e-05 6.3878168e-05 
120.0 150.0 5.2437464e-05 5.2423921e-05 5.2483923e-05 
150.0 180.0 3.7873937e-05 3.7866676e-05 3.7902817e-05 
180.0 210.0 2.5733173e-05 2.572449e-05 2.5746496e-05 
210.0 240.0 1.7111353e-05 1.7107364e-05 1.7124252e-05 
240.0 270.0 1.1277002e-05 1.1275063e-05 1.1285767e-05 
270.0 300.0 7.5558217e-06 7.5528092e-06 7.5604684e-06 


# N3LO yH_h {ptmin, ptmax, center, min, max}
-5.0 -4.9 1.1504217e-07 1.1380976e-07 1.1749131e-07 
-4.9 -4.8 2.8891038e-07 2.8344892e-07 2.8911081e-07 
-4.8 -4.7 8.1519602e-07 8.0626395e-07 8.1958128e-07 
-4.7 -4.6 1.9992267e-06 1.9748109e-06 1.9993419e-06 
-4.6 -4.5 4.1159887e-06 4.1110308e-06 4.129885e-06 
-4.5 -4.4 7.8216904e-06 7.7743503e-06 7.8356952e-06 
-4.4 -4.3 1.2893912e-05 1.2884698e-05 1.2933456e-05 
-4.3 -4.2 2.1803012e-05 2.1739363e-05 2.1806369e-05 
