# create_lambda_band.py -l -1 -e 14 -nlo
# NLO cross-section {center, min, max}
0.011484606 0.011435956 0.011565419 


# NLO ptHH {ptmin, ptmax, center, min, max}
3.7 3.8 1.2281116e-08 1.1719934e-08 1.2985223e-08 
3.8 3.9 7.0094399e-10 6.70708e-10 7.7080782e-10 
3.9 4.0 9.3796786e-12 5.8769898e-12 1.7897975e-11 
4.0 4.1 0.0 0.0 1.1714536e-15 
4.1 4.2 0.0 0.0 0.0 
4.2 4.3 0.0 0.0 0.0 
4.3 4.4 0.0 0.0 0.0 
4.4 4.5 0.0 0.0 0.0 
4.5 4.6 0.0 0.0 0.0 
4.6 4.7 0.0 0.0 0.0 
4.7 4.8 0.0 0.0 0.0 
4.8 4.9 0.0 0.0 0.0 
4.9 5.0 0.0 0.0 0.0 


# NLO mHH {ptmin, ptmax, center, min, max}
0.0 200.0 0.0 0.0 0.0 
200.0 400.0 3.6486484e-05 3.635824e-05 3.6690873e-05 
400.0 600.0 1.437175e-05 1.4277323e-05 1.4491451e-05 
600.0 800.0 3.9275169e-06 3.87954e-06 3.9693908e-06 
800.0 1000.0 1.4094774e-06 1.3860207e-06 1.4268516e-06 
1000.0 1200.0 6.0357596e-07 5.9059702e-07 6.1282206e-07 
1200.0 1400.0 2.8526507e-07 2.7804042e-07 2.8956821e-07 
1400.0 1600.0 1.4669173e-07 1.4234933e-07 1.4908735e-07 
1600.0 1800.0 7.9917625e-08 7.6929863e-08 8.1704862e-08 
1800.0 2000.0 4.5238125e-08 4.3909018e-08 4.6406934e-08 


# NLO phiHH {ptmin, ptmax, center, min, max}
0.0 0.31415927 0.0015080228 0.001501494 0.001517748 
0.31415927 0.62831853 0.001556888 0.0015503648 0.0015670916 
0.62831853 0.9424778 0.0016689787 0.0016624454 0.0016799948 
0.9424778 1.2566371 0.0018689104 0.0018610699 0.0018816317 
1.2566371 1.5707963 0.0021930927 0.0021850603 0.0022074913 
1.5707963 1.8849556 0.0027146576 0.0027040231 0.0027323771 
1.8849556 2.1991149 0.0035357594 0.0035222239 0.0035596225 
2.1991149 2.5132741 0.0048521621 0.0048335518 0.0048860936 
2.5132741 2.8274334 0.0069571299 0.006927768 0.0070063672 
2.8274334 3.1415927 0.0097010321 0.0096537781 0.0097754534 


# NLO ptH_h {ptmin, ptmax, center, min, max}
0.0 30.0 4.4743807e-06 4.4543364e-06 4.4921028e-06 
30.0 60.0 3.8349456e-05 3.8204378e-05 3.8544031e-05 
60.0 90.0 7.3748041e-05 7.3492048e-05 7.417953e-05 
90.0 120.0 7.8319156e-05 7.8078682e-05 7.8835985e-05 
120.0 150.0 6.3078433e-05 6.279828e-05 6.3531917e-05 
150.0 180.0 4.4257648e-05 4.4005499e-05 4.4600206e-05 
180.0 210.0 2.9042349e-05 2.8834767e-05 2.9288021e-05 
210.0 240.0 1.8436e-05 1.8284824e-05 1.8585097e-05 
240.0 270.0 1.1625027e-05 1.1507402e-05 1.173861e-05 
270.0 300.0 7.325554e-06 7.2494731e-06 7.3974744e-06 


# NLO yH_h {ptmin, ptmax, center, min, max}
-5.0 -4.9 0.0 0.0 0.0 
-4.9 -4.8 0.0 0.0 0.0 
-4.8 -4.7 0.0 0.0 0.0 
-4.7 -4.6 3.9131479e-12 2.5664689e-12 5.44984e-12 
-4.6 -4.5 8.2225207e-11 7.0682938e-11 1.2802959e-10 
-4.5 -4.4 2.6620631e-09 2.4021188e-09 2.8397637e-09 
-4.4 -4.3 1.7348381e-08 1.5433976e-08 2.0097633e-08 
-4.3 -4.2 9.008469e-08 8.7290201e-08 1.0300408e-07 
-4.2 -4.1 3.5919628e-07 3.3092074e-07 3.6476663e-07 
-4.1 -4.0 7.2865622e-07 6.808083e-07 7.7305775e-07 
-4.0 -3.9 1.7369937e-06 1.6890687e-06 1.8138373e-06 
-3.9 -3.8 3.72103e-06 3.4826165e-06 3.8098484e-06 
-3.8 -3.7 7.0971227e-06 6.8126399e-06 7.3281556e-06 
-3.7 -3.6 1.2903583e-05 1.2599333e-05 1.3256562e-05 
-3.6 -3.5 2.1770542e-05 2.0876661e-05 2.235207e-05 
-3.5 -3.4 3.4893837e-05 3.3970144e-05 3.5363713e-05 
-3.4 -3.3 5.2319768e-05 5.072633e-05 5.3135521e-05 
-3.3 -3.2 7.5900009e-05 7.4163642e-05 7.7035372e-05 
-3.2 -3.1 0.00010866522 0.00010628925 0.00010997574 
-3.1 -3.0 0.00014895601 0.00014619506 0.00015051653 
-3.0 -2.9 0.00019860032 0.0001950793 0.00020074522 
-2.9 -2.8 0.00025694558 0.00025309703 0.0002592669 
-2.8 -2.7 0.00032857609 0.00032386217 0.0003310213 
-2.7 -2.6 0.00040948107 0.00040489459 0.0004133792 
-2.6 -2.5 0.0005031585 0.00049636753 0.00050727795 
-2.5 -2.4 0.00060786139 0.00060199929 0.0006123015 
-2.4 -2.3 0.00072043627 0.00071383044 0.00072546526 
-2.3 -2.2 0.00084326087 0.00083601627 0.00084903508 
-2.2 -2.1 0.00097158114 0.00096378451 0.00097782118 
-2.1 -2.0 0.0011109889 0.0011020804 0.0011186405 
-2.0 -1.9 0.0012622718 0.0012545433 0.0012711114 
-1.9 -1.8 0.0014115782 0.0014042375 0.0014215505 
-1.8 -1.7 0.0015701701 0.001560185 0.0015796085 
-1.7 -1.6 0.001720819 0.0017125127 0.001732281 
-1.6 -1.5 0.0018793455 0.0018704247 0.0018924662 
-1.5 -1.4 0.0020385022 0.002027985 0.002052449 
-1.4 -1.3 0.002191689 0.0021836973 0.0022060683 
-1.3 -1.2 0.0023396967 0.0023302217 0.0023550775 
-1.2 -1.1 0.0024880977 0.0024794424 0.002505513 
-1.1 -1.0 0.0026293912 0.0026196418 0.0026478411 
-1.0 -0.9 0.002745845 0.0027357984 0.0027645797 
-0.9 -0.8 0.0028742878 0.0028640835 0.0028940826 
-0.8 -0.7 0.002981566 0.0029692516 0.0030021505 
-0.7 -0.6 0.0030745404 0.0030637975 0.0030968729 
-0.6 -0.5 0.0031649268 0.0031547323 0.0031864915 
-0.5 -0.4 0.0032327219 0.0032201109 0.0032563037 
-0.4 -0.3 0.0032931842 0.0032806631 0.0033165454 
-0.3 -0.2 0.0033328412 0.0033196047 0.0033559733 
-0.2 -0.1 0.0033753815 0.0033632248 0.00339923 
-0.1 0.0 0.0033846069 0.0033709635 0.0034093456 
0.0 0.1 0.0033840991 0.0033710341 0.0034067668 
0.1 0.2 0.0033729199 0.0033594038 0.0033976465 
