# create_lambda_band.py -l 1.0 -nnlo
# NNLO cross-section {center, min, max}
0.0084094944 0.0083866754 0.008427812 


# NNLO ptHH {ptmin, ptmax, center, min, max}
3.4 3.5 1.7883236e-05 1.7785142e-05 1.7954812e-05 
3.5 3.6 1.0716873e-05 1.068316e-05 1.0775761e-05 
3.6 3.7 6.1792825e-06 6.1631392e-06 6.2262056e-06 
3.7 3.8 3.4229985e-06 3.387748e-06 3.4374134e-06 
3.8 3.9 1.6463272e-06 1.642571e-06 1.6602644e-06 
3.9 4.0 7.1745267e-07 6.9884984e-07 7.2726427e-07 
4.0 4.1 2.8242731e-07 2.8083458e-07 3.0123667e-07 
4.1 4.2 1.0902987e-07 1.0531327e-07 1.1129972e-07 
4.2 4.3 2.7938756e-08 2.7481787e-08 2.846007e-08 
4.3 4.4 4.6269805e-09 4.6269805e-09 5.0573242e-09 
4.4 4.5 4.7862857e-10 4.4537373e-10 5.4429397e-10 
4.5 4.6 4.6904557e-11 3.6235615e-11 5.703699e-11 
4.6 4.7 1.0709145e-14 6.7505036e-15 5.5137517e-14 
4.7 4.8 0.0 0.0 0.0 
4.8 4.9 0.0 0.0 0.0 
4.9 5.0 0.0 0.0 0.0 


# NNLO mHH {ptmin, ptmax, center, min, max}
0.0 200.0 0.0 0.0 0.0 
200.0 400.0 1.0664469e-05 1.0633295e-05 1.0707858e-05 
400.0 600.0 1.3585186e-05 1.3547837e-05 1.3623195e-05 
600.0 800.0 7.4418543e-06 7.4224316e-06 7.4558354e-06 
800.0 1000.0 4.007932e-06 3.9968807e-06 4.0120955e-06 
1000.0 1200.0 2.2735693e-06 2.2684868e-06 2.2759428e-06 
1200.0 1400.0 1.360291e-06 1.3564967e-06 1.3613002e-06 
1400.0 1600.0 8.4974897e-07 8.4810003e-07 8.5035993e-07 
1600.0 1800.0 5.5028856e-07 5.4885438e-07 5.5091866e-07 
1800.0 2000.0 3.7013077e-07 3.6883424e-07 3.7036838e-07 


# NNLO phiHH {ptmin, ptmax, center, min, max}
0.0 0.31415927 0.0011442909 0.0011414549 0.0011464952 
0.31415927 0.62831853 0.0011747541 0.0011721393 0.001177078 
0.62831853 0.9424778 0.0012556115 0.0012529233 0.0012580663 
0.9424778 1.2566371 0.0014163633 0.0014128501 0.001419212 
1.2566371 1.5707963 0.0016725224 0.0016684522 0.0016757695 
1.5707963 1.8849556 0.0020670171 0.0020614973 0.0020711707 
1.8849556 2.1991149 0.0026801407 0.0026737713 0.0026861401 
2.1991149 2.5132741 0.0036073965 0.0035977872 0.003615456 
2.5132741 2.8274334 0.0050004561 0.0049864696 0.0050121079 
2.8274334 3.1415927 0.0067496995 0.0067282717 0.0067650628 


# NNLO ptH_h {ptmin, ptmax, center, min, max}
0.0 30.0 3.0686709e-06 3.0563237e-06 3.0816029e-06 
30.0 60.0 2.6291385e-05 2.6197567e-05 2.6384289e-05 
60.0 90.0 5.0704476e-05 5.0545707e-05 5.0851542e-05 
90.0 120.0 5.4155857e-05 5.4008727e-05 5.4290422e-05 
120.0 150.0 4.4425781e-05 4.4307162e-05 4.451887e-05 
150.0 180.0 3.2032876e-05 3.1957142e-05 3.2091161e-05 
180.0 210.0 2.1790479e-05 2.1737371e-05 2.1822928e-05 
210.0 240.0 1.4528044e-05 1.44972e-05 1.4545247e-05 
240.0 270.0 9.6217033e-06 9.6020977e-06 9.635865e-06 
270.0 300.0 6.4643551e-06 6.4490569e-06 6.472016e-06 


# NNLO yH_h {ptmin, ptmax, center, min, max}
-5.0 -4.9 8.7471973e-08 8.5065185e-08 8.8145902e-08 
-4.9 -4.8 2.9370303e-07 2.8699329e-07 3.1868417e-07 
-4.8 -4.7 8.2677129e-07 8.0324402e-07 8.3604826e-07 
-4.7 -4.6 1.8798463e-06 1.8652217e-06 1.8919122e-06 
-4.6 -4.5 4.024355e-06 3.9576153e-06 4.0709882e-06 
