# create_lambda_band.py -l -7 -e 100 -nlo
# NLO cross-section {center, min, max}
2.9116585 2.8738009 2.9580712 


# NLO ptHH {ptmin, ptmax, center, min, max}
0.0 30.0 0.0068387536 0.006673425 0.006994915 
30.0 60.0 0.016430779 0.016105669 0.016767508 
60.0 90.0 0.018477899 0.01819108 0.018811195 
90.0 120.0 0.015760861 0.015563511 0.016011176 
120.0 150.0 0.01180858 0.01167819 0.011979078 
150.0 180.0 0.0082980294 0.008217494 0.0084040348 
180.0 210.0 0.0057067769 0.0056561424 0.005774807 
210.0 240.0 0.0038987452 0.0038671151 0.0039416553 
240.0 270.0 0.0026769773 0.0026567595 0.0027044772 
270.0 300.0 0.0018654547 0.0018524023 0.0018823562 


# NLO yHH {ptmin, ptmax, center, min, max}
-5.0 -4.9 0.0024803772 0.0024088992 0.0025395838 
-4.9 -4.8 0.0041744507 0.0040477376 0.0043014907 
-4.8 -4.7 0.0066772559 0.0064994004 0.0068204092 
-4.7 -4.6 0.0098800132 0.0096118566 0.010136776 
-4.6 -4.5 0.014071792 0.013662171 0.014378222 
-4.5 -4.4 0.019463064 0.018904726 0.019879037 
-4.4 -4.3 0.026025921 0.025284407 0.026638636 
-4.3 -4.2 0.033899336 0.032905353 0.034669639 
-4.2 -4.1 0.042763572 0.041642682 0.043780317 
-4.1 -4.0 0.053170878 0.051815816 0.054296181 
-4.0 -3.9 0.064706495 0.062937602 0.065905859 
-3.9 -3.8 0.077248657 0.075197171 0.078792266 
-3.8 -3.7 0.091451704 0.089203715 0.093170846 
-3.7 -3.6 0.10531739 0.10295239 0.10738268 
-3.6 -3.5 0.12116002 0.11825472 0.12341573 
-3.5 -3.4 0.1376967 0.13461339 0.14029934 
-3.4 -3.3 0.15457401 0.15107805 0.15731793 
-3.3 -3.2 0.17306468 0.16941304 0.17622838 
-3.2 -3.1 0.19047285 0.18644214 0.19418567 
-3.1 -3.0 0.20819015 0.20407422 0.21201117 
-3.0 -2.9 0.22702846 0.22277243 0.23124646 
-2.9 -2.8 0.24557254 0.24102313 0.24999365 
-2.8 -2.7 0.26315203 0.25815305 0.26761057 
-2.7 -2.6 0.28201041 0.27730932 0.28718521 
-2.6 -2.5 0.2999529 0.29488631 0.30530552 
-2.5 -2.4 0.31705252 0.31178188 0.32228103 
-2.4 -2.3 0.33539175 0.3301643 0.34125813 
-2.3 -2.2 0.35150621 0.34603751 0.35746419 
-2.2 -2.1 0.36819687 0.36276622 0.3744532 
-2.1 -2.0 0.38473914 0.37929655 0.39092049 
-2.0 -1.9 0.39866794 0.39328108 0.40531296 
-1.9 -1.8 0.41400778 0.4083485 0.42091993 
-1.8 -1.7 0.42725936 0.42170689 0.43391707 
-1.7 -1.6 0.44139903 0.43569857 0.44835028 
-1.6 -1.5 0.45431931 0.44893962 0.46173255 
-1.5 -1.4 0.46711076 0.46143449 0.47434331 
-1.4 -1.3 0.47721105 0.47176597 0.48468077 
-1.3 -1.2 0.48713389 0.4816648 0.4943244 
-1.2 -1.1 0.49811481 0.49257963 0.50585579 
-1.1 -1.0 0.50507335 0.49936945 0.51281892 
-1.0 -0.9 0.51439645 0.50916787 0.52191442 
-0.9 -0.8 0.52109755 0.51573533 0.52906627 
-0.8 -0.7 0.52742741 0.52259769 0.53520424 
-0.7 -0.6 0.53415603 0.52812569 0.5422142 
-0.6 -0.5 0.53787693 0.53315383 0.54577521 
-0.5 -0.4 0.54226557 0.53688364 0.54979704 
-0.4 -0.3 0.54565612 0.54036434 0.55409208 
-0.3 -0.2 0.54880127 0.54355876 0.55641144 
-0.2 -0.1 0.54984452 0.5451155 0.55820465 
-0.1 0.0 0.5506461 0.54515937 0.55841825 
0.0 0.1 0.55017448 0.54518828 0.55804379 
0.1 0.2 0.55070535 0.54551559 0.55881804 
0.2 0.3 0.54695092 0.54168282 0.55493992 
0.3 0.4 0.54618057 0.54113122 0.5540466 
0.4 0.5 0.54379824 0.53851342 0.55172076 
0.5 0.6 0.53868681 0.53334191 0.54648761 
0.6 0.7 0.53332246 0.52823613 0.54116176 
0.7 0.8 0.52884486 0.52333716 0.53664429 
0.8 0.9 0.52184659 0.51660963 0.53008148 
0.9 1.0 0.51461943 0.50896638 0.52215365 
1.0 1.1 0.5053402 0.49986182 0.51282423 
1.1 1.2 0.49816718 0.49277708 0.50592299 
1.2 1.3 0.48660523 0.4810952 0.49419307 
1.3 1.4 0.47716315 0.47188094 0.48436199 
1.4 1.5 0.46617525 0.46052238 0.47371618 
1.5 1.6 0.4544355 0.44902256 0.46142732 
1.6 1.7 0.44199991 0.4362354 0.44912903 
1.7 1.8 0.42719737 0.4216948 0.43398405 
1.8 1.9 0.41490606 0.40912532 0.42161473 
1.9 2.0 0.39885467 0.39363925 0.40556383 
2.0 2.1 0.38394892 0.37815645 0.39014358 
2.1 2.2 0.36867134 0.36346676 0.37519264 
2.2 2.3 0.35257805 0.34718765 0.35854361 
2.3 2.4 0.33532276 0.32982527 0.34072851 
2.4 2.5 0.31736746 0.31205652 0.32304 
2.5 2.6 0.29957253 0.29465852 0.30482137 
2.6 2.7 0.28193285 0.27694281 0.2870217 
2.7 2.8 0.26371901 0.25901457 0.26831512 
2.8 2.9 0.2447174 0.24004265 0.24928165 
2.9 3.0 0.22713105 0.22286838 0.23129107 
3.0 3.1 0.20904232 0.20480344 0.21276465 
3.1 3.2 0.1902567 0.1862243 0.19368718 
3.2 3.3 0.17214513 0.16867065 0.17538821 
3.3 3.4 0.15481143 0.15132919 0.15771548 
3.4 3.5 0.13750683 0.13441364 0.1400567 
3.5 3.6 0.12049327 0.11760846 0.12273491 
3.6 3.7 0.10597955 0.10347802 0.10801475 
3.7 3.8 0.091051824 0.088834537 0.092835701 
3.8 3.9 0.07757915 0.07552226 0.079151146 
3.9 4.0 0.065010792 0.06334464 0.066260531 
4.0 4.1 0.052843158 0.051488493 0.054074045 
4.1 4.2 0.042779065 0.041586618 0.043635977 
4.2 4.3 0.033803441 0.032994678 0.034677239 
4.3 4.4 0.025973084 0.025134014 0.0265226 
4.4 4.5 0.019627066 0.019105463 0.020033756 
4.5 4.6 0.014266617 0.013779513 0.014603468 
4.6 4.7 0.0099687047 0.0096961751 0.010175929 
4.7 4.8 0.0066766837 0.0064578969 0.0069172159 
4.8 4.9 0.0041911035 0.0041042743 0.0042264108 
4.9 5.0 0.0025611539 0.0024775359 0.0026647558 


# NLO mHH {ptmin, ptmax, center, min, max}
0.0 200.0 0.0 0.0 0.0 
200.0 400.0 0.0097190027 0.0095705483 0.0098896368 
400.0 600.0 0.0033261428 0.0032892898 0.0033734969 
600.0 800.0 0.00085640372 0.00084907873 0.00086617711 
800.0 1000.0 0.00031027764 0.00030819637 0.00031318353 
1000.0 1200.0 0.00013954218 0.00013870703 0.00014050276 
1200.0 1400.0 7.1573108e-05 7.1263237e-05 7.2017831e-05 
1400.0 1600.0 4.1221995e-05 4.0976829e-05 4.1416266e-05 
1600.0 1800.0 2.5086843e-05 2.4965389e-05 2.518346e-05 
1800.0 2000.0 1.6376296e-05 1.6339715e-05 1.6515931e-05 


# NLO phiHH {ptmin, ptmax, center, min, max}
0.0 0.31415927 0.51005741 0.50473659 0.51681894 
0.31415927 0.62831853 0.50242118 0.4970638 0.50931096 
0.62831853 0.9424778 0.50689304 0.50124977 0.51401274 
0.9424778 1.2566371 0.53420708 0.5281037 0.54204283 
1.2566371 1.5707963 0.59277734 0.58577068 0.6015046 
1.5707963 1.8849556 0.6949198 0.68632136 0.70573291 
1.8849556 2.1991149 0.86763503 0.85652086 0.88127007 
2.1991149 2.5132741 1.1511212 1.1357196 1.1700195 
2.5132741 2.8274334 1.6216394 1.5985977 1.6490524 
2.8274334 3.1415927 2.2864254 2.2518903 2.3260682 


# NLO ptH_h {ptmin, ptmax, center, min, max}
0.0 30.0 0.00068833924 0.00066937553 0.00070550926 
30.0 60.0 0.0065910943 0.0064385223 0.0067395992 
60.0 90.0 0.014350757 0.014077228 0.014637773 
90.0 120.0 0.0172192 0.016946554 0.017529491 
120.0 150.0 0.015527003 0.015322773 0.015784546 
150.0 180.0 0.012168764 0.012027583 0.012348576 
180.0 210.0 0.0088699199 0.0087753847 0.0089914832 
210.0 240.0 0.0062471946 0.0061883775 0.0063268214 
240.0 270.0 0.0043459881 0.0043083358 0.0043951361 
270.0 300.0 0.0030236219 0.0029987129 0.0030573374 


# NLO yH_h {ptmin, ptmax, center, min, max}
-5.0 -4.9 0.0077948442 0.0075649939 0.007919208 
-4.9 -4.8 0.010694074 0.010414713 0.010935167 
-4.8 -4.7 0.014590977 0.014232299 0.014900657 
-4.7 -4.6 0.018746299 0.018213959 0.019217176 
-4.6 -4.5 0.024529926 0.023959109 0.0249575 
-4.5 -4.4 0.030814164 0.029886046 0.031482179 
-4.4 -4.3 0.038356539 0.037499354 0.039165143 
