# create_lambda_band.py -l -10.0 -nlo
# NLO cross-section {center, min, max}
0.68440096 0.68091354 0.68747521 


# NLO ptHH {ptmin, ptmax, center, min, max}
0.0 30.0 0.0018870849 0.0018729526 0.0019037045 
30.0 60.0 0.0043602399 0.0043325569 0.0043919368 
60.0 90.0 0.0046429445 0.0046175852 0.0046695715 
90.0 120.0 0.0037519435 0.0037336867 0.0037681994 
120.0 150.0 0.0026747389 0.0026632266 0.0026842365 
150.0 180.0 0.0017975843 0.0017900569 0.0018029422 
180.0 210.0 0.0011850934 0.0011807604 0.001189384 
210.0 240.0 0.00077982406 0.00077748766 0.00078311147 
240.0 270.0 0.00051737284 0.00051551824 0.00051940243 
270.0 300.0 0.00034879314 0.00034778421 0.00035017248 


# NLO yHH {ptmin, ptmax, center, min, max}
-5.0 -4.9 0.0 0.0 0.0 
-4.9 -4.8 0.0 0.0 0.0 
-4.8 -4.7 0.0 0.0 0.0 
-4.7 -4.6 3.2664909e-11 2.7395348e-12 4.2244383e-11 
-4.6 -4.5 5.2720268e-09 4.8885541e-09 6.1042577e-09 
-4.5 -4.4 1.7124708e-07 1.3399971e-07 1.8291176e-07 
-4.4 -4.3 1.4500231e-06 1.4066671e-06 1.6137849e-06 
-4.3 -4.2 7.8789913e-06 7.5026973e-06 8.2166529e-06 
-4.2 -4.1 2.8839796e-05 2.7508036e-05 2.8839796e-05 
-4.1 -4.0 8.1049477e-05 7.867525e-05 8.5856545e-05 
-4.0 -3.9 0.00020784411 0.00020159992 0.00020894893 
-3.9 -3.8 0.000433603 0.00042241584 0.00044701364 
-3.8 -3.7 0.0008566821 0.00084095101 0.00086922259 
-3.7 -3.6 0.0014931704 0.0014725193 0.0015176351 
-3.6 -3.5 0.0024443764 0.0024290019 0.0024739246 
-3.5 -3.4 0.0038236608 0.0037753908 0.0038914553 
-3.4 -3.3 0.0057032601 0.0056387951 0.0057711568 
-3.3 -3.2 0.0081195404 0.0080661055 0.008168362 
-3.2 -3.1 0.010981106 0.010939843 0.011078831 
-3.1 -3.0 0.014619209 0.014532485 0.014711094 
-3.0 -2.9 0.018759426 0.018702004 0.018890888 
-2.9 -2.8 0.023576383 0.023436065 0.023732316 
-2.8 -2.7 0.028852486 0.028726059 0.029067512 
-2.7 -2.6 0.034841001 0.034673244 0.035082665 
-2.6 -2.5 0.041360078 0.041157348 0.04162814 
-2.5 -2.4 0.048214621 0.047965847 0.048537122 
-2.4 -2.3 0.055342457 0.054984658 0.055713543 
-2.3 -2.2 0.062975108 0.062631021 0.063365487 
-2.2 -2.1 0.070651458 0.070236599 0.071088298 
-2.1 -2.0 0.078589555 0.078131575 0.079021392 
-2.0 -1.9 0.086428762 0.085925723 0.086957972 
-1.9 -1.8 0.094482609 0.093951616 0.094991878 
-1.8 -1.7 0.10226487 0.1016432 0.10276775 
-1.7 -1.6 0.1101239 0.10951073 0.11068174 
-1.6 -1.5 0.11745963 0.11683213 0.11806055 
-1.5 -1.4 0.12461661 0.12390395 0.12523847 
-1.4 -1.3 0.13181207 0.13109898 0.13243263 
-1.3 -1.2 0.13836444 0.13762559 0.1390672 
-1.2 -1.1 0.14436961 0.14364843 0.14509223 
-1.1 -1.0 0.14997698 0.14915703 0.15070737 
-1.0 -0.9 0.15553693 0.1547405 0.15634377 
-0.9 -0.8 0.16004538 0.15924261 0.16077338 
-0.8 -0.7 0.16479152 0.16393131 0.16563466 
-0.7 -0.6 0.16853708 0.16764814 0.16940834 
-0.6 -0.5 0.17154323 0.17058881 0.17244935 
-0.5 -0.4 0.17463068 0.17373004 0.17552934 
