# create_lambda_band.py -l 0.5 -e 14 -nnlo
# NNLO cross-section {center, min, max}
0.0033134075 0.0033040895 0.0033174462 


# NNLO ptHH {ptmin, ptmax, center, min, max}
3.4 3.5 2.1618142e-07 2.1333676e-07 2.2307571e-07 
3.5 3.6 6.9158196e-08 6.8554245e-08 7.0129986e-08 
3.6 3.7 1.5780775e-08 1.487668e-08 1.6258078e-08 
3.7 3.8 2.238153e-09 2.0303941e-09 2.682542e-09 
3.8 3.9 1.1175334e-10 1.0777115e-10 1.238214e-10 
3.9 4.0 1.135737e-12 1.135737e-12 3.0137454e-12 
4.0 4.1 0.0 0.0 0.0 
4.1 4.2 0.0 0.0 0.0 
4.2 4.3 0.0 0.0 0.0 
4.3 4.4 0.0 0.0 0.0 
4.4 4.5 0.0 0.0 0.0 
4.5 4.6 0.0 0.0 0.0 
4.6 4.7 0.0 0.0 0.0 
4.7 4.8 0.0 0.0 0.0 
4.8 4.9 0.0 0.0 0.0 
4.9 5.0 0.0 0.0 0.0 


# NNLO mHH {ptmin, ptmax, center, min, max}
0.0 200.0 0.0 0.0 0.0 
200.0 400.0 7.232457e-06 7.2107236e-06 7.2486053e-06 
400.0 600.0 5.3503289e-06 5.3357117e-06 5.3567376e-06 
600.0 800.0 2.1095636e-06 2.1039191e-06 2.1110111e-06 
800.0 1000.0 9.1981343e-07 9.1750645e-07 9.2048505e-07 
1000.0 1200.0 4.3731294e-07 4.3593867e-07 4.3759383e-07 
1200.0 1400.0 2.2469792e-07 2.2381936e-07 2.2495538e-07 
1400.0 1600.0 1.2192913e-07 1.2122853e-07 1.2207282e-07 
1600.0 1800.0 6.8565158e-08 6.8238447e-08 6.8791941e-08 
1800.0 2000.0 3.9216695e-08 3.8897128e-08 3.9267771e-08 


# NNLO phiHH {ptmin, ptmax, center, min, max}
0.0 0.31415927 0.00039639458 0.00039543662 0.00039683381 
0.31415927 0.62831853 0.00041389821 0.00041300588 0.00041437707 
0.62831853 0.9424778 0.00045486403 0.00045376208 0.00045537655 
0.9424778 1.2566371 0.00052114486 0.00051980139 0.00052173873 
1.2566371 1.5707963 0.00062736284 0.00062593872 0.00062811148 
1.5707963 1.8849556 0.00079263232 0.00079048281 0.00079351899 
1.8849556 2.1991149 0.0010454036 0.0010426799 0.0010465757 
2.1991149 2.5132741 0.0014411713 0.0014371815 0.0014430666 
2.5132741 2.8274334 0.002048876 0.0020428558 0.0020514233 
2.8274334 3.1415927 0.0028051559 0.0027960988 0.002808737 


# NNLO ptH_h {ptmin, ptmax, center, min, max}
0.0 30.0 1.4192901e-06 1.4140197e-06 1.4225706e-06 
30.0 60.0 1.1806522e-05 1.1764177e-05 1.1829704e-05 
60.0 90.0 2.1930857e-05 2.1863027e-05 2.1964423e-05 
90.0 120.0 2.2602858e-05 2.2539266e-05 2.2633001e-05 
120.0 150.0 1.7836387e-05 1.7788448e-05 1.7856387e-05 
150.0 180.0 1.231444e-05 1.228323e-05 1.2326845e-05 
180.0 210.0 8.0141792e-06 7.9957234e-06 8.0211458e-06 
210.0 240.0 5.0620532e-06 5.0491032e-06 5.0651587e-06 
240.0 270.0 3.2053974e-06 3.198578e-06 3.2079706e-06 
270.0 300.0 2.0327721e-06 2.0282367e-06 2.0344256e-06 


# NNLO yH_h {ptmin, ptmax, center, min, max}
-5.0 -4.9 0.0 0.0 0.0 
-4.9 -4.8 0.0 0.0 0.0 
-4.8 -4.7 0.0 0.0 0.0 
-4.7 -4.6 9.2423054e-13 5.4563817e-13 9.2423054e-13 
-4.6 -4.5 1.5284967e-10 1.4133405e-10 1.8111252e-10 
-4.5 -4.4 3.05841e-09 2.8605411e-09 3.6182848e-09 
-4.4 -4.3 1.9070497e-08 1.7828334e-08 1.9669159e-08 
-4.3 -4.2 6.7857175e-08 6.6579311e-08 7.038069e-08 
-4.2 -4.1 2.2577274e-07 2.1683387e-07 2.301095e-07 
-4.1 -4.0 5.8074626e-07 5.6415912e-07 5.8888977e-07 
-4.0 -3.9 1.2790256e-06 1.2610116e-06 1.2828989e-06 
-3.9 -3.8 2.5501414e-06 2.5187259e-06 2.5680424e-06 
-3.8 -3.7 4.8278107e-06 4.7725246e-06 4.8593376e-06 
-3.7 -3.6 8.1410697e-06 8.0574602e-06 8.1567463e-06 
-3.6 -3.5 1.3058191e-05 1.2917766e-05 1.3094663e-05 
-3.5 -3.4 1.937575e-05 1.9314328e-05 1.9440622e-05 
-3.4 -3.3 2.8674865e-05 2.8406925e-05 2.8741688e-05 
-3.3 -3.2 3.9836745e-05 3.9722692e-05 3.9900946e-05 
-3.2 -3.1 5.3583916e-05 5.3321973e-05 5.3661864e-05 
-3.1 -3.0 7.0381195e-05 7.0133621e-05 7.0423532e-05 
-3.0 -2.9 8.9639973e-05 8.9280848e-05 8.9704431e-05 
-2.9 -2.8 0.00011121138 0.00011102175 0.00011136509 
-2.8 -2.7 0.00013800245 0.00013737684 0.00013815586 
-2.7 -2.6 0.00016472987 0.00016433413 0.00016484534 
-2.6 -2.5 0.00019406001 0.00019334712 0.00019438228 
-2.5 -2.4 0.00022583153 0.00022534982 0.00022598894 
-2.4 -2.3 0.0002591723 0.00025814657 0.00025948189 
-2.3 -2.2 0.00029577567 0.00029506124 0.00029614385 
-2.2 -2.1 0.00033204353 0.00033073327 0.00033268324 
-2.1 -2.0 0.00036990236 0.00036889402 0.00037015962 
-2.0 -1.9 0.00040690324 0.00040566147 0.00040744827 
-1.9 -1.8 0.00044586787 0.00044440153 0.00044619242 
-1.8 -1.7 0.00048353973 0.000482458 0.0004844057 
-1.7 -1.6 0.00052174999 0.00052003517 0.00052220286 
-1.6 -1.5 0.00055928118 0.00055737394 0.00056017455 
-1.5 -1.4 0.00059626182 0.00059485967 0.00059685885 
-1.4 -1.3 0.00063172423 0.00062966635 0.00063242472 
-1.3 -1.2 0.00066516569 0.00066369507 0.0006664059 
-1.2 -1.1 0.00069850544 0.00069616281 0.00069950735 
-1.1 -1.0 0.00072887234 0.00072705996 0.00072940789 
-1.0 -0.9 0.00075697025 0.00075461292 0.00075801469 
-0.9 -0.8 0.0007811039 0.00077921927 0.00078229299 
-0.8 -0.7 0.00080486037 0.00080258971 0.0008058536 
-0.7 -0.6 0.00082452153 0.00082227954 0.00082600083 
-0.6 -0.5 0.00084443741 0.00084187313 0.00084557135 
-0.5 -0.4 0.00086094449 0.0008585955 0.00086222484 
-0.4 -0.3 0.00087274542 0.00087069296 0.00087370371 
-0.3 -0.2 0.00088138049 0.00087882389 0.00088274537 
-0.2 -0.1 0.0008879995 0.00088576132 0.00088943732 
-0.1 0.0 0.00088979904 0.00088725433 0.00089087384 
0.0 0.1 0.00088868546 0.00088671514 0.0008899844 
0.1 0.2 0.00089002595 0.00088749009 0.00089133742 
0.2 0.3 0.0008818062 0.0008792031 0.00088300912 
0.3 0.4 0.00087230248 0.00086980492 0.00087375643 
0.4 0.5 0.00085940238 0.000857132 0.00086030977 
0.5 0.6 0.00084276342 0.00084096762 0.00084393391 
0.6 0.7 0.0008248305 0.00082228177 0.00082603274 
0.7 0.8 0.00080582466 0.00080385989 0.0008070251 
0.8 0.9 0.00078292641 0.0007803998 0.00078403528 
0.9 1.0 0.00075697944 0.00075504308 0.0007580478 
1.0 1.1 0.00072917201 0.00072716478 0.00073002939 
1.1 1.2 0.0006962164 0.00069427687 0.00069732055 
1.2 1.3 0.00066499112 0.00066293461 0.00066581976 
1.3 1.4 0.00063185291 0.00063049432 0.00063291485 
1.4 1.5 0.00059707457 0.00059501498 0.00059752434 
1.5 1.6 0.0005592041 0.00055761813 0.0005599646 
1.6 1.7 0.00052499309 0.00052342172 0.00052579347 
1.7 1.8 0.00048543595 0.00048391747 0.00048583959 
1.8 1.9 0.0004452751 0.00044403294 0.00044580284 
1.9 2.0 0.00040782981 0.00040655489 0.00040841402 
2.0 2.1 0.00036959718 0.00036854029 0.00037000108 
2.1 2.2 0.00033262425 0.00033142725 0.00033281978 
2.2 2.3 0.00029621397 0.00029530205 0.00029664349 
2.3 2.4 0.00026026952 0.00025963556 0.00026052647 
2.4 2.5 0.00022558802 0.00022481859 0.00022592677 
2.5 2.6 0.00019311922 0.0001923871 0.00019337627 
2.6 2.7 0.00016430965 0.00016401528 0.00016447259 
2.7 2.8 0.00013616466 0.00013573093 0.00013618448 
2.8 2.9 0.00011197086 0.00011171548 0.00011210636 
2.9 3.0 8.9110138e-05 8.8810261e-05 8.9213425e-05 
3.0 3.1 6.988317e-05 6.964396e-05 6.9917688e-05 
3.1 3.2 5.3582588e-05 5.3377366e-05 5.3637941e-05 
3.2 3.3 3.9595802e-05 3.9424098e-05 3.9650778e-05 
